Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2023-06-30,27820.46,49246.83,31247.59,,4590.584,112905.5,28680.79,20299.98,17912.0,47067.12,169322.8,282228.2,95929.03,64783.93,14513.22,89607.98,185537.0,3347.528,76487.2,,3671.377,96691.22,282228.2
2023-03-31,30850.59,48437.18,30693.87,,5524.79,115506.4,28421.48,20497.65,17545.8,45803.05,167059.7,282566.1,96033.88,64294.51,14599.31,88948.36,184982.2,3295.338,77297.68,,3273.87,97583.87,282566.1
2022-12-31,28835.98,47846.08,26994.29,,4711.699,108388.0,28710.6,19840.34,16719.58,45546.07,165563.8,273951.8,93141.4,65376.93,14598.68,89631.86,182773.3,3234.552,71323.45,,3089.155,91178.55,273951.8
2022-09-30,23638.98,45210.19,28600.45,,5339.167,102788.8,27791.67,19914.36,15546.13,46374.51,161233.6,264022.4,90638.94,64290.58,16777.94,89970.16,180609.1,3092.104,64073.03,,3209.946,83413.28,264022.4
2022-06-30,24205.23,46569.39,27879.91,,6500.133,105154.7,29625.2,19730.27,16139.66,48948.94,168834.3,273988.9,96041.92,68807.98,16604.71,94504.15,190546.1,3267.094,63707.27,,2773.305,83442.86,273988.9
2022-03-31,31005.26,47503.85,26872.2,,8510.765,113892.1,30911.0,19626.16,16877.89,50966.96,175717.4,289609.5,101158.5,74303.11,15523.39,100445.9,201604.4,3445.154,68229.76,,1844.897,88005.17,289609.5
2021-12-31,38929.91,48912.9,25396.42,,8536.066,121775.3,32959.98,20872.25,17752.42,54430.88,185630.8,307406.1,103728.3,87008.73,17065.03,117113.9,220842.2,3632.117,66478.39,,1145.241,86563.88,307406.1
2021-09-30,32860.77,45396.84,24408.26,,66732.11,169398.0,32814.78,11266.08,17539.42,52574.63,172116.0,341514.0,130732.0,90832.59,17779.98,122023.6,252755.6,3620.144,69423.04,,226.4064,88758.38,341514.0
2021-06-30,40852.13,62389.72,34839.68,,5840.15,143921.7,42578.76,14652.79,19873.62,59105.16,208791.1,352712.8,125520.5,98306.59,24349.82,140269.6,265790.1,3699.043,67825.02,,-295.2005,86922.69,352712.8
2021-03-31,41681.21,65001.13,34749.01,,6076.224,147507.6,42765.04,13830.64,19910.48,59153.97,208551.9,356059.5,129045.0,102573.7,24250.64,145042.1,274087.2,3701.192,62702.05,,-291.7552,81972.36,356059.5
2020-12-31,35595.21,60684.69,30206.98,,5179.188,131666.1,40261.5,11876.49,18732.58,55359.29,194731.3,326397.4,114011.8,98853.5,22680.37,141279.7,255291.5,3506.861,53814.89,,-1189.134,71105.89,326397.4
2020-09-30,40803.95,61366.66,34525.25,,5289.725,141985.6,41022.55,11539.2,19206.67,56951.34,197787.8,339773.3,118888.5,108327.7,23035.14,152354.6,271243.1,3588.83,50586.14,,-881.426,68530.29,339773.3
2020-06-30,36599.46,60613.35,33162.93,,5878.773,136254.5,40171.43,10408.7,18263.95,54825.97,188311.2,324565.8,113990.3,105585.6,21384.46,145768.0,259758.3,3380.377,47388.04,,-266.4662,64807.44,324565.8
2020-03-31,29876.86,64521.75,35515.32,,6343.4,136257.3,40713.6,11885.88,17988.78,57428.18,192124.5,328381.8,114492.3,106676.1,21355.75,144208.1,258700.4,3386.824,51773.18,,90.4624,69681.42,328381.8
2019-12-31,33044.48,70686.56,33327.84,,6077.12,143136.0,41600.16,11273.92,17895.36,59100.16,195594.6,338730.6,118498.2,111080.5,21677.6,149850.4,268348.6,3438.4,51888.48,,440.16,70381.92,338730.6
2019-09-30,31796.53,66953.52,39533.82,,6212.744,144496.6,40771.48,11672.66,17660.05,58781.43,195084.8,339738.5,118783.8,110630.7,20957.86,150995.1,269903.8,3415.419,51108.63,,847.736,69834.75,339738.5
2019-06-30,27793.15,66057.48,37607.91,,6388.816,137847.4,40232.46,11272.6,17288.1,58106.3,192813.2,330614.9,123157.8,100024.8,20645.63,138062.0,261183.8,3450.203,50956.54,,468.6432,69431.13,330614.9
2019-03-31,32782.59,67857.23,38054.98,,6714.85,145409.7,40016.5,12036.07,17067.01,58179.08,192487.4,337906.6,118327.6,108162.2,18881.54,142487.3,260822.2,3487.004,58250.64,,531.5693,77084.37,337906.6
2018-12-31,32687.72,68528.7,34826.51,,7582.02,143625.0,36549.59,9855.444,16884.38,59747.97,188967.1,321259.4,115681.3,104709.8,19114.48,138902.1,245908.9,3502.13,58447.69,,452.8813,75350.55,321259.4
2018-09-30,32371.89,64210.11,37352.9,,7173.859,141108.8,34389.18,9658.549,16898.7,58250.11,180468.5,321666.1,112526.1,102210.6,18086.96,132832.7,245426.6,3570.475,57068.8,,432.6439,76239.53,321666.1
2018-06-30,33491.79,62734.34,34766.68,,6868.184,137861.0,34244.32,9918.854,16994.21,59577.53,184220.9,321759.3,110426.4,103286.3,18843.08,135095.3,245275.8,3657.614,56475.57,,986.4836,76483.45,321759.3
2018-03-31,33415.8,63734.02,33900.11,,6694.223,137744.2,34534.38,11859.32,17163.07,59333.48,185273.6,323036.3,110696.8,98632.23,18953.04,130103.4,240814.0,3773.86,61046.99,,1273.524,82222.2,323036.3
2017-12-31,27946.67,58056.73,29032.89,,5606.288,120642.6,31626.92,10205.48,16141.58,55225.33,168267.8,300085.3,98454.78,88590.66,12249.06,116631.1,223509.5,3607.91,53894.96,,1767.524,76575.84,300085.3
