Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2023-06-30,5639.355,1807.6,1422.848,-141.124,-462.984,0.0,-1605.9624,-4503.345,4005.206,-871.971,-914.31,0.0,0.0,1725.8209,1725.8209,-28.8434,-89.302,0.0,844.829,844.829,-681.8716,-681.8716,-6168.5096,99.4644,-5906.0878,-2251.6174,0,-6168.5096
2023-03-31,5977.765,1772.183,1093.795,2518.196,-3690.349,0.0,-744.9396,-3097.833,4003.782,-735.279,-1205.428,0.0,0.0,-1188.254,-1188.254,-31.1286,-3160.09,0.0,-703.077,-703.077,-92.3124,-92.3124,-76.2114,15.0276,-856.5732,-202.8726,0,-76.2114
2022-12-31,6383.0,1921.144,1521.979,839.4044,1893.146,-3815.274,-1485.0095,-4505.34,4249.66,-1010.985,-1268.53,0.0,0.0,-814.924,-814.924,-9.8264,-3104.265,-14240.46,16101.0192,1860.56,14.1008,14.1008,-354.696,-14.9824,1504.98,2046.113,0,-354.696
2022-09-30,4648.24,1516.272,862.699,570.3948,-1741.021,1031.327,657.6406,-410.058,5071.379,-598.084,-844.923,0.0,0.0,1008.2,1008.2,18.0538,-416.754,0.0,-3564.44,-3564.44,0.798,0.798,314.753,0.285,-3248.6,1573.031,0,314.753
2022-06-30,4540.198,1625.245,1710.3585,192.8112,-1909.148,558.624,713.8569,-1919.416,5150.036,-709.2576,-758.322,0.0,0.0,1799.377,1799.377,10.12,341.9178,0.0,-3852.451,-3852.451,0.812,0.812,-5879.0494,0.29,-9730.403,-3884.659,0,-5879.0494
2022-03-31,5820.852,1807.864,366.9595,-518.4564,-2574.327,2225.323,-1107.611,-2910.987,3328.445,-855.1164,-729.43,0.0,0.0,1115.467,1115.467,10.0998,-458.9798,0.0,-8502.909,-8502.909,-15.7108,-15.7108,-53.8656,-5.611,-8578.097,-5532.446,0,-53.8656
2021-12-31,17166.99,1912.763,-9390.274,-993.598,-92.532,-855.857,-264.87,-3813.6433,4903.34,-1200.912,-975.275,-7171.953,0.0,-520.8596,-520.8596,7433.254,-2435.745,-22080.2,16861.195,-5219.0,-0.0468,-0.0468,-94.32,-0.1443,-5313.51,-2561.8786,0,-94.32
2021-09-30,3898.73,1925.702,2038.466,1098.2181,-189.01,-750.851,3716.664,2953.8904,9775.76,-911.395,-615.684,0.0,0.0,-825.8132,-825.8132,-54.2822,-2407.174,0.0,-8732.301,-8732.301,0.3084,0.3084,38.591,-2.6638,-8696.064,-1053.333,0,38.591
2021-06-30,6127.761,2230.203,1440.0071,430.3775,-246.757,-172.005,2136.7529,817.3322,8482.697,-1174.108,-788.7084,0.0,0.0,-409.1262,-409.1262,749.4646,-1622.4778,0.0,-4594.441,-4594.441,43.41,43.41,-1991.6452,0.0238,-6542.652,267.862,0,-1991.6452
2021-03-31,6850.219,2189.37,-261.6151,-393.0256,-2501.62,3640.912,-801.7239,-706.4816,5882.123,-1153.759,-863.2096,0.0,0.0,1145.32,1145.32,-28.9344,-900.5832,0.0,-1803.578,-1803.578,-57.8688,-57.8688,-94.0368,-40.9904,-1996.474,3505.885,0,-94.0368
2020-12-31,5101.77,2436.688,2125.855,25.037,3419.827,-2803.4617,-2041.397,-2498.248,5323.55,-1989.886,-721.991,0.0,0.0,1551.378,1551.378,44.8701,-1115.628,-7127.953,1516.809,-5611.146,-0.0267,-0.0267,1.678,0.0,-5609.493,-1806.255,0,1.678
2020-09-30,3462.792,2892.795,2700.009,-958.658,75.388,1605.2582,2351.133,2758.032,10292.906,-800.472,-860.817,0.0,0.0,-905.729,-905.729,39.9259,-2527.092,0.0,-2849.241,-2849.241,0.0679,0.0679,-1195.9143,0.0,-4045.088,3187.962,0,-1195.9143
2020-06-30,-1919.25,2716.658,2446.949,97.9,2066.311,-494.7642,6162.3804,7629.381,8227.552,-1693.641,-863.9928,0.0,0.0,760.8402,760.8402,-27.4771,-1824.27,0.0,392.893,392.893,34.1971,34.1971,-184.9029,0.0,242.188,6402.051,0,-184.9029
2020-03-31,595.728,2185.439,2153.447,2365.261,-3232.376,1351.42,-906.8304,-1083.342,1665.832,-1657.006,-773.3432,0.0,0.0,589.1088,589.1088,-26.4768,-1867.718,0.0,-2787.786,-2787.786,-33.096,-33.096,-43.0248,0.0,-2863.907,-3026.078,0,-43.0248
