Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2023-06-30,41697.99,31931.27,9766.715,1792.618,3514.359,290.0464,5016.93,4749.785,794.9016,5544.684,1574.538,3970.146,,3970.146,,3885.095,6557.385,4749.785,1065.4,1069.8,3.647,3.632
2023-03-31,40269.68,30172.2,10097.47,1819.413,3232.008,354.222,4697.2,5400.277,577.4892,5977.765,1672.357,4305.407,,4305.407,,4234.563,7172.461,5400.277,1069.106,1069.106,3.9608,3.9608
2022-12-31,42173.26,33160.05,9013.211,1278.992,3250.853,790.4606,3739.4,5273.813,253.3745,5527.202,1378.746,4148.456,,4148.456,,4104.06,7194.957,5273.816,1070.184,1070.184,3.8347,3.8347
2022-09-30,37987.55,29142.32,8845.23,1535.98,3092.104,233.6704,4394.42,4450.816,752.3784,5203.195,1176.41,4026.786,,4026.786,,3951.246,5967.088,4450.816,1071.858,1071.858,3.6864,3.6864
2022-06-30,38779.45,29731.62,9047.83,1542.026,3188.343,-1.0642,4731.43,4316.398,524.6506,4841.046,1437.734,3403.312,,3403.312,,3306.469,5941.644,4316.398,1067.697,1067.697,3.0968,3.0968
2022-03-31,39117.65,30180.45,8937.201,1545.269,3181.437,1119.956,3606.75,5330.453,490.4014,5820.852,1796.642,4024.209,,4024.209,,3916.478,7138.317,5330.453,1070.552,1070.552,3.6584,3.6584
2021-12-31,19249.12,13599.36,5649.754,514.2988,1797.31,-963.8509,3275.47,2374.285,-45.1691,2329.122,1377.606,951.5161,,951.5161,13959.17,14798.52,4287.048,2374.289,1069.8,1069.8,13.8297,13.8297
2021-09-30,37318.14,29400.99,7917.146,1593.099,3426.755,374.9856,4644.87,3272.277,122.6368,3394.917,1008.216,2386.701,,2386.701,647.3808,2912.624,5197.979,3272.277,1069.245,1069.245,2.724,2.724
2021-06-30,52391.46,40525.61,11865.86,2153.156,4477.408,159.0468,6471.52,5394.336,737.3989,6131.736,1668.786,4462.95,,4462.95,,4335.23,7624.54,5394.336,1069.8,1069.8,4.0485,4.0485
2021-03-31,49450.09,38591.26,10858.84,2207.454,4498.094,1793.933,4911.61,5947.223,902.9944,6850.219,1578.13,5272.089,,5272.089,,5172.024,8136.592,5947.223,1069.825,1069.825,4.8345,4.8345
2020-12-31,54878.67,43774.84,11103.83,1569.872,5064.168,265.8106,6368.24,4735.59,283.4296,5019.02,1048.882,3970.137,,3970.137,,3847.441,7172.279,4735.586,1069.8,1069.8,3.5877,3.5877
2020-09-30,47088.49,38230.98,8857.512,1816.626,3801.588,335.503,5282.71,3574.801,-30.394,3544.408,1021.706,2522.702,,2522.702,,2395.281,6467.596,3574.801,1067.178,1067.178,2.2445,2.2445
2020-06-30,33235.6,30268.14,2967.463,1700.098,3600.597,403.0026,4897.69,-1930.227,12.1121,-1918.116,180.5804,-2098.697,,-2098.697,,-2203.301,786.4314,-1930.227,1069.8,1069.8,-2.0591,-2.0591
2020-03-31,41064.41,34764.04,6300.375,1899.71,4202.089,457.828,5643.97,656.4023,-60.676,595.728,410.3904,185.3376,,185.3376,,103.7008,2841.842,656.4023,1069.8,1069.8,0.0993,0.0993
2019-12-31,52330.58,44144.11,8186.477,1715.793,4983.215,-958.0856,7657.09,529.3867,-203.0492,326.325,353.1268,-26.802,,-26.802,,-136.1169,3026.675,529.3828,1069.8,1069.8,-0.1363,-0.1363
2019-09-30,48116.24,38470.75,9645.484,1962.475,4604.792,-185.7899,6752.07,2893.422,-30.024,2864.724,847.736,2016.989,,2016.989,,1912.412,5027.452,2894.762,1067.7,1067.7,1.7911,1.7911
2019-06-30,47938.6,41704.89,6233.707,1763.312,4548.828,-1810.514,8123.15,-1889.441,10.116,-1879.068,-483.2532,-1395.815,,-1395.815,,-1492.466,182.0628,-1889.183,1069.7,1069.7,-1.3936,-1.3936
