Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2023-06-30,1.177,0.4012,1.2324,23.4225,11.3909,11.3909,,13.2973,9.3172,0.1477,1.0219,0.8467,106.2932,4.106,5.0396,1.4067,2.4587,90.3794,3.7414,2.9269
2023-03-31,1.2028,0.3972,1.2041,25.0746,13.4103,13.4103,,14.8443,10.5155,0.1425,0.983,0.8314,108.2538,4.412,5.3792,1.5237,2.6597,91.2169,3.745,3.0572
2022-12-31,1.1637,0.4176,1.2923,21.3719,12.5051,12.5051,,13.1059,9.7314,0.1539,1.2284,0.8814,102.1061,4.5498,5.5715,1.5143,2.6498,85.2136,3.9907,3.0429
2022-09-30,1.134,0.4353,1.3633,23.2846,11.7165,11.7165,,13.6971,10.4014,0.1439,1.0189,0.8402,107.1118,4.8275,5.9333,1.5252,2.7263,77.9709,4.7006,4.1483
2022-06-30,1.0949,0.4519,1.4797,23.3315,11.1306,11.1306,,12.4835,8.5263,0.1415,1.0664,0.8327,108.079,4.0786,5.0567,1.2421,2.2353,77.9986,4.8318,4.1654
2022-03-31,1.1259,0.4578,1.5076,22.847,13.6267,13.6267,,14.8804,10.0121,0.1351,1.1231,0.8235,109.2946,4.5727,5.6578,1.3895,2.4794,82.2632,3.1091,2.3103
2021-12-31,1.174,0.5013,1.7199,29.3507,12.3345,12.3345,,12.0999,76.879,0.0626,0.5355,0.3935,228.6942,1.0992,1.3828,0.3095,0.5482,80.9131,4.5717,3.4508
2021-09-30,1.2958,0.5058,1.7366,21.2153,8.7686,8.7686,,9.0972,7.8048,0.1093,1.2046,0.822,109.4834,2.689,3.3512,0.6989,1.329,82.9673,9.1496,8.2961
2021-06-30,1.1466,0.5307,1.977,22.6485,10.2962,10.2962,,11.7037,8.2747,0.1485,1.1632,0.8397,107.1754,5.1344,6.6562,1.2653,2.4094,81.2513,7.9294,6.8318
2021-03-31,1.1431,0.5558,2.1608,21.9592,12.0267,12.0267,,13.8528,10.4591,0.1389,1.1106,0.7608,118.3032,6.4315,8.4949,1.4807,2.8568,76.624,5.4982,4.4198
2020-12-31,1.1548,0.5816,2.3429,20.2334,8.6292,8.6292,,9.1457,7.0108,0.1681,1.4492,0.9043,99.5218,5.5834,7.5805,1.2164,2.3359,66.4665,4.9298,3.0793
2020-09-30,1.1943,0.6125,2.5966,18.8104,7.5917,7.5917,,7.5271,5.0868,0.1386,1.1073,0.7673,117.2898,3.6811,5.1146,0.7425,1.4264,64.059,9.6677,8.91
2020-06-30,1.1953,0.6197,2.6775,8.9286,-5.8077,-5.8077,,-5.7713,-6.6293,0.1024,0.9127,0.5483,164.1373,-3.2384,-4.5091,-0.6466,-1.2317,60.579,7.6908,6.1076
2020-03-31,1.1901,0.6049,2.5065,15.3427,1.5985,1.5985,,1.4507,0.2525,0.1251,0.9788,0.6364,141.411,0.266,0.3585,0.0564,0.1051,65.135,1.5571,0.0082
2019-12-31,1.2079,0.6121,2.5744,15.6438,1.0116,1.0116,,0.6236,-0.2601,0.1545,1.3245,0.7403,121.5693,-0.0381,-0.0511,-0.0079,-0.0148,65.7898,1.4228,-0.48
2019-09-30,1.2165,0.6131,2.5449,20.0462,6.0134,6.0134,,5.951,3.9727,0.1417,0.9731,0.7187,125.2346,2.8882,3.8658,0.5937,1.1173,58.6764,4.526,2.7379
