Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2023-06-30,42821,14482,17703,0,4149,121712,38503,25240,0,12109,144279,265991,101015,93895,25754,121370,222385,42,31577,-8924,0,43606,265991
2023-03-31,39513,14920,16212,0,4128,115123,37970,25456,0,11595,141677,256800,95905,91242,25908,118698,214603,42,30270,-8788,0,42197,256800
2022-12-31,44070,15729,14080,0,3877,116476,37265,25570,0,11118,139408,255884,96866,88805,25497,115851,212717,42,31754,-9339,0,43167,255884
2022-09-30,40173,14764,15213,0,4036,108088,35529,26111,0,14359,138831,246919,90167,84279,28591,114663,204830,42,31072,-10193,0,42089,246919
2022-06-30,36700,15037,13976,0,4040,100469,36162,28729,0,15607,145286,245755,86452,85008,28221,115066,201518,42,32511,-9473,0,44237,245755
2022-03-31,41228,13031,14647,0,4461,106142,36625,29852,0,15376,146844,252986,90352,87315,28501,117550,207902,42,32251,-8294,0,45084,252986
2021-12-31,49593,11370,12065,0,3425,108996,37139,30906,0,14942,148039,257035,90727,88400,27705,117686,208413,41,35769,-8339,0,48622,257035
2021-09-30,46426,10851,13508,0,3583,106968,36597,31368,0,15014,145709,252677,89033,97249,28808,126940,215973,41,23894,-8245,0,36704,252677
2021-06-30,41036,8750,13593,0,3557,101275,36723,32144,0,14283,147257,248532,83474,100905,28586,130274,213748,41,22062,-8268,0,34784,248532
2021-03-31,46107,10448,12742,0,3971,113932,36361,32505,0,13348,146887,260819,94249,103201,28707,132596,226845,41,21502,-8370,0,33974,260819
2020-12-31,49961,9993,10808,0,3581,116744,37083,32852,0,12882,150517,267261,97192,110341,28379,139258,236450,41,18243,-8294,0,30811,267261
2020-09-30,44831,10114,10583,0,4390,111765,36118,32636,0,12858,148178,259943,93159,106280,26826,133623,226782,41,21031,-8613,0,33161,259943
2020-06-30,57130,9107,10220,0,4934,124111,35276,32367,0,12559,145255,269366,92780,119886,25391,145731,238511,41,18645,-8471,0,30855,269366
2020-03-31,46370,6625,11312,0,5080,124276,35294,30789,0,11728,139874,264150,94494,114414,25105,139958,234452,41,17527,-8461,0,29698,264150
2019-12-31,34651,9237,10786,0,5722,114047,36469,31749,0,10706,144490,258537,98132,101361,25324,127175,225307,41,20320,-7728,0,33230,258537
2019-09-30,37331,10621,12451,0,4168,115754,35404,32075,0,10717,142403,258157,99087,99507,23729,123683,222770,41,22590,-7842,0,35387,258157
2019-06-30,38048,10941,12437,0,3169,118351,36581,32435,0,10789,143833,262184,98334,103213,24032,127714,226048,41,22769,-7436,0,36136,262184
2019-03-31,37730,12016,12333,0,3672,121195,36145,31834,0,9459,142086,263281,99237,102612,24216,127610,226847,41,23226,-7501,0,36434,263281
2018-12-31,33951,11195,11220,0,3930,114649,36178,31828,0,7929,141891,256540,95569,100720,23588,125005,220574,41,22668,-7366,0,35966,256540
2018-09-30,36342,50818,12810,0,3629,114843,35762,32398,0,8367,144123,258966,94750,102668,24228,127597,222347,41,23384,-7429,0,36619,258966
2018-06-30,36476,51354,12565,0,3604,115025,35580,32452,0,8300,143054,258079,94861,101959,24107,126749,221610,41,22993,-7204,0,36469,258079
2018-03-31,40071,54680,12371,0,3756,123264,36118,31544,0,8546,143966,267230,99878,105351,24845,130916,230794,41,22529,-6669,0,36436,267230
2017-12-31,38927,10599,11176,0,3889,116801,35327,31320,0,8104,141695,258496,94600,102666,24711,128290,222890,41,21906,-6959,0,35606,258496
2017-09-30,38081,10277,11263,0,3570,112732,34760,32058,0,7041,138541,251273,94352,97938,24819,123658,218010,41,19405,-6759,0,33263,251273
2017-06-30,39109,10159,11092,0,3291,113539,33794,31838,0,6602,133930,247469,94299,95236,24840,120908,215207,41,18437,-6716,0,32262,247469
2017-03-31,39989,10685,10535,0,3414,113228,32668,31556,0,5893,130866,244094,91304,96720,24583,122149,213453,41,16992,-6929,0,30641,244094
2016-12-31,38827,11102,8898,0,3368,108461,32072,32133,0,5656,129490,237951,90281,93301,24395,118483,208764,41,15634,-7013,0,29187,237951
2016-09-30,34165,10029,10219,0,3552,103515,32257,32991,0,7111,131448,234963,89188,89951,23652,114276,203464,41,17013,-6046,0,31499,234963
2016-06-30,39297,10728,9829,0,3053,110767,31940,32817,0,6905,128911,239678,89408,95053,23416,119116,208524,41,16652,-5976,0,31154,239678
2016-03-31,39473,11252,9770,0,0,154775,31164,32054,0,8716,82513,237288,22072,140995,43949,185595,207667,41,15278,-6046,0,29621,237288
2015-12-31,35176,11042,8319,0,2913,102587,30163,30317,0,4795,122338,224925,82336,89879,23457,113932,196268,41,14414,-6257,0,28657,224925
2015-09-30,31847,13373,9496,0,0,139924,30137,30412,0,7524,79507,219431,22386,126425,42513,169561,191947,41,27489,-20442,0,27484,219431
2015-06-30,31302,12666,9438,0,0,136227,30750,29617,0,6954,79818,216045,21844,123526,43649,167846,189690,41,26175,-20260,0,26355,216045
2015-03-31,33100,13005,9519,0,0,134791,29612,27542,0,7490,77583,212374,22366,122776,41644,165034,187400,41,24887,-20406,0,24974,212374
2014-12-31,31150,11708,7870,0,0,131839,30126,26574,0,6052,76776,208615,20035,119171,44032,164115,184150,40,9422,-5265,0,24465,208615
2014-09-30,33963,11143,9296,0,0,134284,30048,26113,0,6078,74551,208835,21155,119193,41407,161515,182670,40,25051,-18165,0,26165,208835
2014-06-30,35669,12853,9365,0,0,137913,29294,25425,0,5717,73032,210945,22062,118707,42444,162076,184138,40,24699,-18107,0,26807,210945
2014-03-31,36529,12088,8874,0,0,135264,28447,24006,0,6231,71818,207082,22209,117004,40141,158066,180275,40,23882,-18190,0,26807,207082
2013-12-31,36568,9828,7708,0,0,131585,27616,23663,0,5847,70594,202179,19531,114688,40886,156503,176034,40,23386,-18230,0,26145,202179
2013-09-30,37642,11693,8799,0,0,131552,26836,24425,86,5051,69519,201071,68973,110622,0,111588,180561,40,21014,-21509,0,20510,201071
2013-06-30,36706,11353,8192,0,0,128255,25863,23074,82,4978,67955,196210,68128,107857,0,108860,176988,40,20136,-21837,0,19222,196210
2013-03-31,34341,11384,8423,0,0,125971,25795,20556,84,5554,67039,193010,67054,107356,0,108318,175372,40,19296,-22533,0,17638,193010
2012-12-31,35943,10878,7362,0,0,125174,24942,18549,0,5556,64232,189406,19308,105058,48259,154109,173417,40,18077,-22854,0,15989,189406
2012-09-30,35535,10737,8208,0,0,122812,24347,18833,89,5073,61868,184680,64277,100604,0,101517,165794,39,16670,-18541,0,18886,184680
2012-06-30,35600,10160,7289,0,0,121143,22808,18115,95,5011,60093,181236,63665,99897,0,100492,164157,39,15230,-18928,0,17079,181236
2012-03-31,36027,9904,7031,0,0,122859,23150,16440,97,4994,59216,182075,64352,100490,0,101073,165425,39,14190,-18314,0,16650,182075
2011-12-31,35766,8565,5901,0,0,135333,22371,15774,100,4770,43015,178348,63093,99488,0,100184,163277,38,12985,-18734,0,15071,178348
2011-09-30,33192,9036,7212,0,0,117229,22304,14934,100,5977,45511,162740,60365,95131,0,96349,156714,38,-440,-14269,0,6026,162740
2011-06-30,33521,9473,7036,0,0,123156,23263,14748,103,6397,44930,168086,62686,98550,0,100050,162736,38,-2089,-13236,0,5350,168086
2011-03-31,34866,8999,7414,0,0,121983,23407,13764,98,6177,45408,167391,62076,101638,0,102850,164926,38,-4487,-13684,0,2465,167391
2010-12-31,35570,8381,5917,0,0,119938,23179,14244,102,5221,44749,164687,60206,103988,0,105123,165329,38,-7038,-14313,0,-642,164687
2010-09-30,44148,8368,6855,0,0,129857,22956,15686,123,6255,47221,177078,61100,116691,0,117718,178818,35,-7228,-12609,0,-1740,177078
2010-06-30,39726,7985,6076,0,0,124762,22210,17246,183,5740,54988,179750,59674,117385,0,123617,183291,35,-8915,-12277,0,-3541,179750
2010-03-31,46239,6925,6292,0,0,136154,22826,18362,192,6358,55814,191968,60056,130105,0,137349,197405,34,-11514,-11199,0,-5437,191968
2009-12-31,42281,7194,5041,0,0,130408,22637,19637,165,8096,61632,192040,60445,131635,0,139377,199822,34,-10864,-13599,0,-7782,192040
2009-09-30,48366,7296,6560,0,0,141499,24812,20347,225,7200,61607,203106,70360,132017,0,140016,210376,33,-14524,-8704,0,-7270,203106
2009-06-30,41134,6643,6603,0,0,134676,24801,22550,235,7383,65514,200190,69769,133066,0,139839,209608,33,-15521,-9005,0,-9418,200190
2009-03-31,41456,5390,6575,0,0,137429,23779,23648,227,7960,65705,203134,67311,145586,0,152300,219611,24,-17782,-10624,0,-16477,203134
