Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2023-06-30,2016,1596,807,2403,-1878,-1387,3811,70,616,5035,-1949,0,0,0,508,508,-2739,-4180,2518,1553,4071,0,0,-601,-57,3413,4264,138.0,-601
2023-03-31,1663,1625,449,2074,-1388,-1967,2323,95,-937,2800,-1780,0,0,0,1169,1169,-1366,-1977,1670,-2211,-541,0,0,-3193,-140,-3874,-2981,100.0,-3193
2022-12-31,1259,1700,513,2213,-2772,1584,-1185,79,-2294,1178,-2065,0,14,0,-1172,-1172,-1749,-4972,4355,3810,8165,-484,-484,-599,-27,7055,3619,59.0,-599
2022-09-30,-930,1627,1760,3387,-2504,-1653,5273,239,1355,3812,-1732,0,435,0,-1063,-1063,-1157,-3517,1289,1055,2344,0,0,-603,-45,1696,1587,107.0,-603
2022-06-30,638,1619,2309,3928,-3319,248,1466,-14,-1619,2947,-1699,0,0,0,385,385,2141,827,-5343,1209,-4134,0,0,-402,-43,-4579,-1149,103.0,-402
2022-03-31,-3119,1547,4545,6092,-3148,-2755,1714,132,-4057,-1084,-1370,0,0,0,2771,2771,1914,3315,-486,-614,-1100,0,0,-405,-156,-1661,546,67.0,-405
2021-12-31,12273,1516,-11297,-9781,-664,1351,475,-123,1039,3531,-1772,0,0,0,485,485,-976,-2263,-9441,1705,-7736,0,0,-400,58,-8078,-6887,43.0,-400
2021-09-30,1822,1520,187,1707,-2381,-200,5927,133,3479,7008,-1574,0,1,0,-1064,-1064,1467,-1170,-1827,678,-1149,0,0,0,-73,-1222,4462,79.0,0
2021-06-30,553,1182,-907,275,7449,-753,-6631,-137,-72,756,-1513,0,144,0,6154,6154,1884,6669,-7034,617,-6417,0,0,0,12,-6405,1112,142.0,0
2021-03-31,3262,1742,-533,1209,2111,-2176,193,-107,21,4492,-1368,0,0,0,106,106,771,-491,-7961,273,-7688,0,0,-3,-102,-7793,-3885,41.0,-3
2020-12-31,-2791,1725,1018,2743,961,350,2951,325,4587,4539,-1531,0,0,0,-4234,-4234,20,-5745,1702,524,2226,0,0,0,58,2284,1463,29.0,0
2020-09-30,2390,1520,103,1623,1088,-268,6343,-88,7075,11088,-1256,0,27113,0,5821,5821,-30333,1345,-17274,-2026,-19300,0,0,0,-60,-19360,-6709,63.0,0
2020-06-30,1118,2070,-3712,-1642,11033,1243,-2679,42,9639,9115,-1175,0,-27113,0,-5574,-5574,22761,-11101,7215,-167,7048,0,0,0,-111,6937,5021,69.0,0
2020-03-31,-1993,2142,1609,3751,-1041,-1177,194,-207,-2231,-473,-1780,0,1340,0,-3246,-3246,572,-3114,13743,-622,13121,0,0,-596,-71,12454,8419,38.0,-596
2019-12-31,-1672,2071,1333,3404,-1031,1996,34,169,1168,2900,-2274,0,0,0,-708,-708,-2368,-5350,249,-290,-41,0,0,-595,-53,-689,-2940,-10.0,-595
2019-09-30,423,2018,818,2836,2016,-610,297,-230,1473,4732,-1805,0,26202,0,-705,-705,-28239,-4547,392,-1165,-773,-237,-237,-598,-24,-1632,-1625,69.0,-598
2019-06-30,150,2259,289,2548,1803,-97,1985,74,3765,6463,-1920,0,-26202,0,352,352,25280,-2490,-1668,-349,-2017,0,0,-599,-65,-2681,1287,84.0,-599
2019-03-31,1183,2142,296,2438,-2050,-1083,2944,112,-77,3544,-1633,0,0,0,518,518,-219,-1334,2134,420,2554,0,0,-597,-84,1873,4112,85.0,-597
2018-12-31,-112,2109,1047,3156,-3267,1532,-5,53,-1687,1357,-2116,0,0,0,593,593,-2143,-3666,2682,-1551,1131,0,0,-597,-8,526,-1848,-8.0,-597
2018-09-30,3807,6304,544,6848,-1380,-2360,6786,-36,3010,5179,-1981,0,0,0,1763,1763,-3355,-3573,440,467,907,-75,-75,-597,-91,144,1734,199.0,-597
2018-06-30,0,0,0,0,0,0,0,0,0,4972,-1909,0,0,0,2858,2858,-3427,-2478,-1757,-826,-2583,0,0,-598,-25,-3206,-1116,0.0,-598
2018-03-31,0,0,0,0,0,0,0,0,0,3514,-1779,0,0,0,-1827,-1827,-2938,-6544,4593,-909,3684,-89,-89,-1113,-68,2414,-501,0.0,-1113
2017-12-31,7757,8572,-284,8288,-3133,-970,6089,65,2051,3147,-2113,0,0,0,-72,-72,-4650,-6835,5852,-670,5182,0,0,-596,-27,4559,918,246.0,-596
