Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2023-06-30,44954,37471,7483,0,5022,0,5022,2461,-173,2288,272,2016,,2016,,1917,4057,2461,4003,4041,0.48,0.47
2023-03-31,41474,34669,6805,0,4692,0,4692,2113,46,2159,496,1663,,1663,,1757,3738,2113,3990,4029,0.44,0.44
2022-12-31,43999,37816,6183,0,4622,0,4622,1561,-395,1166,-93,1259,,1259,,1289,3261,1561,4014,4014,0.33,0.34
2022-09-30,39392,34354,5038,0,4534,0,4534,504,-1629,-1125,-195,-930,,-930,,-827,2131,504,4021,4021,-0.21,-0.21
2022-06-30,40190,33191,6999,0,4131,0,4131,2868,-2077,791,153,638,,638,,667,4487,2868,4021,4052,0.17,0.16
2022-03-31,34476,29036,5440,0,4097,0,4097,1343,-5191,-3848,-729,-3119,,-3119,,-3110,2890,1343,4008,4008,-0.78,-0.78
2021-12-31,37678,32393,5285,0,4546,0,4546,739,10479,11218,-1055,12273,,12273,,12282,2255,739,3991,4034,3.07,3.05
2021-09-30,35683,30057,5626,0,4284,0,4284,1342,543,1885,63,1822,,1822,,1832,2862,1342,3995,4036,0.46,0.45
2021-06-30,26752,22904,3848,0,3870,0,3870,-22,757,735,182,553,,553,,561,1160,-22,3992,4028,0.14,0.14
2021-03-31,36228,29297,6931,0,4467,0,4467,2464,1478,3942,680,3262,,3262,,3262,4206,2464,3980,4016,0.82,0.81
2020-12-31,35952,33075,2877,0,5319,0,5319,-2442,-1368,-3810,-1019,-2791,,-2791,,-2788,-717,-2442,3973,3973,-0.7,-0.7
2020-09-30,37501,31223,6278,0,3927,0,3927,2351,405,2756,366,2390,,2390,,2385,3871,2351,3976,4005,0.6,0.6
2020-06-30,19371,17932,1439,0,4198,0,4198,-2759,3843,1084,-34,1118,,1118,,1117,-689,-2759,3975,3992,0.28,0.28
2020-03-31,34320,30522,3798,0,5356,0,5356,-1558,412,-1146,847,-1993,,-1993,,-1993,584,-1558,3963,3963,-0.5,-0.5
2019-12-31,39715,34812,4903,0,5360,0,5360,-457,-1979,-2436,-764,-1672,,-1672,,-1672,1614,-457,3972,4004,-0.43,-0.43
