Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data.1,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data.2,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2023-06-30,0.45254739296715507,0.6445776521405846,0.6167364856645571,,0.026518708663504413,0.40930208192718975,0.04260731964920306,0.9664371157044763,0.8304996768562953,0.2907039773195276,0.7477428983563339,0.7926433643815148,0.4805408242904652,0.4222347767551948,0.15752447228416988,0.3249205837906368,0.3932827542639691,0.1952714201182526,0.9852274446402828,,0.9999999999999999,0.983710050022273,0.5949373269406647,2023-06-30,0.6300632480623526,31931.27,0.4596817151692115,0.7549923362016663,3514.359,290.0464,0.35923575813585074,0.41676055720287286,0.38860720957855677,5544.684,1574.538,0.7507564973538521,,3970.146,,0.35810258207047346,0.432988051533808,0.41676055720287286,1065.4,1069.8,3.647,3.632,2023-06-30,0.3960237846741946,1807.6,1422.848,-141.124,-462.984,0.0,-1605.9624,-4503.345,0.6238920571340487,-871.971,-914.31,0.0,0.0,1725.8209,1725.8209,-28.8434,0.8495913924994104,0.0,844.829,844.829,-681.8716,-681.8716,-6168.5096,99.4644,0.20116685041442262,0.2742679760715405,0,-6168.5096,2023-06-30,0.9083191850594228,0.4012,0.46028011204481784,0.7097164346467797,11.3909,0.4300418362648267,,13.2973,0.19342388170532102,0.1477,0.6912202380952381,0.8467,0.46478310337559936,0.7241935483870967,5.0396,0.8846226379511939,2.4587,0.9908185873451083,3.7414,0.658923257590441
2023-03-31,0.5722272492626972,0.631155481994581,0.5911252398799455,,0.04115356110105644,0.4364976603688513,0.03618884585044224,0.978030201728025,0.7994405627619712,0.2679704509297749,0.7332785549027325,0.793592363074149,0.4821057854007713,0.4161269839843595,0.16058359664047095,0.31782385277118086,0.3894814446346927,0.15537221168062887,1.0,,0.9182170352047345,0.9999999999999999,0.5967911569182859,2023-03-31,0.5899754557663511,30172.2,0.48204329636973076,0.7708178198903443,3232.008,354.222,0.29328049706251236,0.45734422806693886,0.34634188635669977,5977.765,1672.357,0.7922305269274216,,4305.407,,0.3786573214716235,0.47134766509654286,0.45734422806693886,1069.106,1069.106,3.9608,3.9608,2023-03-31,0.4137543591613644,1772.183,1093.795,2518.196,-3690.349,0.0,-744.9396,-3097.833,0.6238068784978795,-735.279,-1205.428,0.0,0.0,-1188.254,-1188.254,-31.1286,0.5457160163274773,0.0,-703.077,-703.077,-92.3124,-92.3124,-76.2114,15.0276,0.466781710874576,0.4143553798930457,0,-76.2114,2023-03-31,0.9282296650717704,0.3972,0.4497105508870214,0.7906140896381861,13.4103,0.4797676474426691,,14.8443,0.20772960124731832,0.1425,0.6649080086580087,0.8314,0.47335612359211554,0.7519209858644436,5.3792,0.9287519330139933,2.6597,1.0,3.745,0.666351229634359
2022-12-31,0.4926569881545724,0.6213563777232259,0.42000833480186806,,0.02841604196362677,0.3620661152963287,0.04334518052591829,0.9394798330623765,0.7293650268607905,0.2633488226879539,0.7237176820415054,0.7693989347286057,0.43893345624161273,0.4296352121953186,0.16056121020366687,0.3251775043460242,0.37434677837638575,0.10890136891210256,0.8911081786019589,,0.8802138293689696,0.8831094579159414,0.54953028809253,2022-12-31,0.6434024566686921,33160.05,0.40873905101926356,0.4516379833343097,3250.853,790.4606,0.09570144894052424,0.44945424117677996,0.28333346293441475,5527.202,1378.746,0.7728146377676287,,4148.456,,0.3709814966290964,0.472750642723222,0.4494544283443586,1070.184,1070.184,3.8347,3.8347,2022-12-31,0.434986147088164,1921.144,1521.979,839.4044,1893.146,-3815.274,-1485.0095,-4505.34,0.6385144295540677,-1010.985,-1268.53,0.0,0.0,-814.924,-814.924,-9.8264,0.5512402800913054,-14240.46,16101.0192,1860.56,14.1008,14.1008,-354.696,-14.9824,0.5910042695512513,0.56813468609846,0,-354.696,2022-12-31,0.8980552554406545,0.4176,0.48265172735760964,0.6093056052022074,12.5051,0.4574779553171947,,13.1059,0.19836874445613073,0.1539,0.8308982683982684,0.8814,0.4464743749513542,0.7644073939833274,5.5715,0.9252065024704863,2.6498,0.9341865378016574,3.9907,0.6655360339303833
2022-09-30,0.2873931172421257,0.5776592690143404,0.4942981537165029,,0.0382456743886871,0.3035196572200658,0.020599709360536234,0.943821008898179,0.6298393102196529,0.2782478097712061,0.6960417065995077,0.7415120225692616,0.40158245404708515,0.416077938940043,0.23799909317163925,0.32881721221401183,0.3595183820179143,0.0,0.7589553422195653,,0.9050653316081374,0.7414012185572395,0.4950543503008976,2022-09-30,0.5259238469192006,29142.32,0.39738224380049314,0.6034185170975466,3092.104,233.6704,0.23082175391114934,0.398108122592518,0.3803406305222211,5203.195,1176.41,0.7577632444405904,,4026.786,,0.36199340058926627,0.39617379637307704,0.398108122592518,1071.858,1071.858,3.6864,3.6864,2022-09-30,0.344095536889403,1516.272,862.699,570.3948,-1741.021,1031.327,657.6406,-410.058,0.6876667495922162,-598.084,-844.923,0.0,0.0,1008.2,1008.2,18.0538,0.817187788057081,0.0,-3564.44,-3564.44,0.798,0.798,314.753,0.285,0.3409561781196163,0.5357866702915691,0,314.753,2022-09-30,0.8751350517055101,0.4353,0.5091690009337068,0.7029639459213304,11.7165,0.43805942768777684,,13.6971,0.20636743601345212,0.1439,0.6891910173160173,0.8402,0.4683625557622362,0.7895704965567234,5.9333,0.9293176932071059,2.7263,0.854785681162153,4.7006,0.7285512319146267
2022-06-30,0.30975807142803535,0.6001917381830527,0.4609709720404861,,0.056432847340921403,0.3282580243372666,0.06598347498562529,0.9330243720485049,0.6801793320339733,0.32454735990970396,0.7446207067708606,0.7695031307969595,0.48222578814113226,0.4724535326284324,0.23184353373103017,0.3775975819343105,0.42760348256967984,0.13377969887909158,0.7522886634016176,,0.8152309499968212,0.7419410233187264,0.5497338308334884,2022-06-30,0.5481497801684275,29731.62,0.4110795616074052,0.606989365180463,3188.343,-1.0642,0.3003416067067134,0.38972189206207947,0.33606997680788653,4841.046,1437.734,0.6806353377817436,,3403.312,,0.3240694040950084,0.394586964814879,0.38972189206207947,1067.697,1067.697,3.0968,3.0968,2022-06-30,0.33843480958009536,1625.245,1710.3585,192.8112,-1909.148,558.624,713.8569,-1919.416,0.6923717327278631,-709.2576,-758.322,0.0,0.0,1799.377,1799.377,10.12,0.8922635271234176,0.0,-3852.451,-3852.451,0.812,0.812,-5879.0494,0.29,0.0,0.16260518718904188,0,-5879.0494,2022-06-30,0.8449606420743943,0.4519,0.5526423902894491,0.7052604776198332,11.1306,0.4236321954558774,,12.4835,0.18398184416399943,0.1415,0.7213203463203464,0.8327,0.47259178413794484,0.7217107647698442,5.0567,0.8225398860936144,2.2353,0.8550893529598134,4.8318,0.7295260463578424
2022-03-31,0.5783361895963566,0.615682976513979,0.41436129839747016,,0.08793050698581781,0.41961818700256504,0.09780975862469277,0.9269184572110908,0.7427920294612067,0.3608402162586787,0.7886132490471562,0.8133738883529298,0.5585943977526651,0.5410308594413957,0.1934198800086987,0.4415237841944797,0.5033713669846528,0.26990641001921967,0.8347197337411304,,0.6242205809224585,0.8251985169420771,0.6354335542677315,2022-03-31,0.5576419011747272,30180.45,0.4036001905725539,0.6089047241505089,3181.437,1119.956,0.06833784408211774,0.45298796506230155,0.3294118767726998,5820.852,1796.642,0.7574444522929469,,4024.209,,0.35994844316970515,0.4692182523971593,0.45298796506230155,1070.552,1070.552,3.6584,3.6584,2022-03-31,0.40553309609435906,1807.864,366.9595,-518.4564,-2574.327,2225.323,-1107.611,-2910.987,0.5834106112123438,-855.1164,-729.43,0.0,0.0,1115.467,1115.467,10.0998,0.8130092577061871,0.0,-8502.909,-8502.909,-15.7108,-15.7108,-53.8656,-5.611,0.060613667182464914,0.049934149351226975,0,-53.8656,2022-03-31,0.8688840870504707,0.4578,0.563062558356676,0.6815361789433996,13.6267,0.4850962923564479,,14.8804,0.20171983806828014,0.1351,0.7596726190476191,0.8235,0.47790717910642244,0.7664824211670895,5.6578,0.8781352544035002,2.4794,0.9018416543425615,3.1091,0.6237729309420925
2021-12-31,0.8913329828667667,0.6390418462036304,0.34610195377561415,,0.0883268611106281,0.5020466479089079,0.14852636980121825,1.0,0.8169649596876107,0.42313670041856855,0.851973605369428,0.8633559840419929,0.5969504975262869,0.6995926141407969,0.248200556889266,0.620851749738722,0.635182532064129,0.412839456716354,0.8027976501852768,,0.48027357617336935,0.7988964478182344,0.7330715257969848,2021-12-31,0.0,13599.36,0.18134349594086813,0.0,1797.31,-963.8509,0.0,0.2685550294829489,0.22529610283068202,2329.122,1377.606,0.3773317752887717,,951.5161,13959.17,1.0,0.2913970124147741,0.26855527903972054,1069.8,1069.8,13.8297,13.8297,2021-12-31,1.0,1912.763,-9390.274,-993.598,-92.532,-855.857,-264.87,-3813.6433,0.6776152518090441,-1200.912,-975.275,-7171.953,0.0,-520.8596,-520.8596,7433.254,0.61739488486326,-22080.2,16861.195,-5219.0,-0.0468,-0.0468,-94.32,-0.1443,0.2323376622898422,0.2530531883563772,0,-94.32,2021-12-31,0.9060040129649637,0.5013,0.6423529411764705,1.0,12.3345,0.45327709199792177,,12.0999,1.0,0.0626,0.3622159090909091,0.3935,0.9999999999999999,0.45173976078289235,1.3828,0.4707879153622751,0.5482,0.8870406689988368,4.5717,0.6887890638360943
2021-09-30,0.6516225403981177,0.5807535048665623,0.3003965275050774,,1.0000000000000002,1.0,0.14493236110282604,0.4366107392784335,0.79889944548201,0.38975317865080383,0.7655953150125134,0.9591486816107981,1.0,0.7473130678711031,0.27360560925931454,0.6736743146794808,0.8538427965251042,0.4036861088983108,0.8564695546616264,,0.2912328353952907,0.8389438294640331,0.9201986269917425,2021-09-30,0.5071357903762467,29400.99,0.3346366292915586,0.6371537588521121,3426.755,374.9856,0.2824856426166744,0.32458002558830357,0.25791784198647355,3394.917,1008.216,0.5548737529901455,,2386.701,647.3808,0.3009045325203694,0.34820781488847763,0.32458002558830357,1069.245,1069.245,2.724,2.724,2021-09-30,0.304825885035502,1925.702,2038.466,1098.2181,-189.01,-750.851,3716.664,2953.8904,0.96906615801941,-911.395,-615.684,0.0,0.0,-825.8132,-825.8132,-54.2822,0.6202221798027375,0.0,-8732.301,-8732.301,0.3084,0.3084,38.591,-2.6638,0.05440836019238249,0.35620329111703086,0,38.591,2021-09-30,1.0,0.5058,0.6485901027077496,0.6016374417910009,8.7686,0.3654701839662946,,9.0972,0.17536832780786904,0.1093,0.8147997835497836,0.822,0.4787327356793482,0.5957955781080102,3.3512,0.6176592614943612,1.329,0.9095606187011398,9.1496,0.9650035914216327
2021-06-30,0.9672541523771232,0.8624571133771782,0.7828816490511877,,0.046093849500731025,0.7336142431261083,0.3866116245389609,0.6352368351291562,0.9968737330816035,0.5072007694440916,1.0,0.9906007282490706,0.9222146416179355,0.8405860096577553,0.5070584790583768,0.8699796938083653,0.9431509622835811,0.4640043240069538,0.8273425695220357,,0.18391759631857635,0.8054443635203666,0.9816389085939475,2021-06-30,0.930192494712956,40525.61,0.6016000576558372,0.9679308783979163,4477.408,159.0468,0.6592947554294015,0.45697357387195503,0.37742859142416685,6131.736,1668.786,0.8117196504494203,,4462.95,,0.3845782754682572,0.49954186506504694,0.45697357387195503,1069.8,1069.8,4.0485,4.0485,2021-06-30,0.42161321454618617,2230.203,1440.0071,430.3775,-246.757,-172.005,2136.7529,817.3322,0.8917197094092544,-1174.108,-788.7084,0.0,0.0,-409.1262,-409.1262,749.4646,0.69787321040325,0.0,-4594.441,-4594.441,43.41,43.41,-1991.6452,0.0238,0.16768226336977304,0.44654288709401807,0,-1991.6452,2021-06-30,0.884858774502238,0.5307,0.738375350140056,0.6718163166373683,10.2962,0.4030858862319536,,11.7037,0.18097815640904114,0.1485,0.7867965367965368,0.8397,0.46864065638743785,0.8173794853207684,6.6562,0.8312903104137593,2.4094,0.8907483152792959,7.9294,0.8815286914683782
2021-03-31,1.0,0.9057483989215181,0.7786878838715109,,0.04979207896440677,0.771109196693702,0.39122245057433613,0.5870188168448414,1.0,0.5080785874629385,0.9984711807016475,1.0,0.9748203205237373,0.8938380704855908,0.5035342142929227,0.9213261490255418,0.9999999999999999,0.46564723258967966,0.7339665973436086,,0.18462643125383316,0.7151059015551596,0.9999999999999999,2021-03-31,0.8476382665512193,38591.26,0.5335177626019549,0.9999999999999999,4498.094,1793.933,0.3375099016436729,0.4914677475635928,0.40962062523449694,6850.219,1578.13,0.9118155602484378,,5272.089,,0.4337961798327368,0.5314763200657713,0.4914677475635928,1069.825,1069.825,4.8345,4.8345,2021-03-31,0.45946551023145465,2189.37,-261.6151,-393.0256,-2501.62,3640.912,-801.7239,-706.4816,0.7361625840039905,-1153.759,-863.2096,0.0,0.0,1145.32,1145.32,-28.9344,0.7693095951785869,0.0,-1803.578,-1803.578,-57.8688,-57.8688,-94.0368,-40.9904,0.4068205827434845,0.667949787350371,0,-94.0368,2021-03-31,0.8821577403920359,0.5558,0.8070214752567693,0.6380636663222685,12.0267,0.4456978087055874,,13.8528,0.2070562785550304,0.1389,0.7512175324675325,0.7608,0.5172986459647861,0.9349130119608554,8.4949,0.9125334741447593,2.8568,0.8400197770369306,5.4982,0.7440285489516468
