Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data.1,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data.2,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2023-06-30,0.44923017705927637,0.18445932237776425,1.0,0.0,0.7250961202376791,0.3911722461606455,0.9999999999999998,0.5968689863213189,0.0,0.6772169419581066,0.9419731725921378,0.9683473074109503,0.9999999999999999,0.1568499518815143,0.533662114838683,0.2803599040853373,0.8028534053816154,0.9999999999999998,0.9217194823626076,0.7919722553868895,0.0,0.922948125163213,0.9683473074109503,2023-06-30,1.0,37471,0.7110588235294117,0.0,5022,0,0.35873015873015873,0.5660096426545661,0.3202297383535418,2288,272,0.306878623080141,,2016,,0.30056801195814653,0.6791690300623937,0.5660096426545661,4003,4041,0.48,0.47,2023-06-30,0.22008400480027432,1596,807,2403,-1878,-1387,3811,70,616,0.5027111403220507,-1949,0,0,0,508,508,-2739,0.38460683523200895,2518,1553,4071,0,0,-601,-57,0.7158169359401522,0.7285378283026264,138.0,-601,2023-06-30,0.007570449612932989,0.6829,0.8132564923752851,0.48445810995479877,5.4745,0.5322125381109879,,5.0896,0.2702281598522463,0.169,0.10462015804528046,3.1041,0.11167738562493512,0.5063930221341763,4.6232,0.22453560109628595,1.4662,0.9324914300498026,1.2439,0.4490302357474042
2023-03-31,0.32190146266358743,0.19334550618786772,0.8822460906649818,0.0,0.7214260747990213,0.26984126984127,0.967286564782422,0.6081031882248921,0.0,0.6297868413767648,0.9177689717400607,0.8821488192373341,0.9374594587978998,0.1135759374949028,0.5368532294494291,0.2504201868991329,0.707715441886622,0.9999999999999998,0.8973128419637355,0.7997043606799704,0.0,0.9013041674987328,0.8821488192373341,2023-03-31,0.8639721690184888,34669,0.6312941176470589,0.0,4692,0,0.326984126984127,0.5413357912648895,0.33420548819400125,2159,496,0.28578258531046435,,1663,,0.29100149476831094,0.6565513329551901,0.5413357912648895,3990,4029,0.44,0.44,2023-03-31,0.20495456883250474,1625,449,2074,-1388,-1967,2323,95,-937,0.3190930003286231,-1780,0,0,0,1169,1169,-1366,0.5070297304806891,1670,-2211,-541,0,0,-3193,-140,0.48676683221223366,0.2551940415523324,100.0,-3193,2023-03-31,0.006801442315908179,0.6838,0.813336213803027,0.4719489120151372,5.0948,0.521985865267558,,5.2057,0.26965862469463764,0.1615,0.10992873418335192,2.7798,0.1441927336611169,0.5029939731902631,3.941,0.2120952370210798,1.2463,0.9144783649181814,0.695,0.28260301704434143
2022-12-31,0.49730561970746723,0.2097585717184013,0.7138682672563577,0.0,0.677560293603635,0.294755643943579,0.9240164487816853,0.6140323503406667,0.0,0.5857709698255976,0.8966623876765084,0.8735580440042765,0.9492209969770032,0.07382517493924023,0.5283366833129571,0.21851959751697558,0.6846583615536022,0.9999999999999998,0.9250247427685758,0.7683779634999147,0.0,0.9162045499930875,0.8735580440042765,2022-12-31,0.9626705233944416,37816,0.5581176470588236,0.0,4622,0,0.32025012025012023,0.5021979580260919,0.3060625398851308,1166,-93,0.26163867806131597,,1259,,0.2630194319880419,0.6227311401020987,0.5021979580260919,4014,4014,0.33,0.34,2022-12-31,0.18763929367392423,1700,513,2213,-2772,1584,-1185,79,-2294,0.18583634571146895,-2065,0,14,0,-1172,-1172,-1749,0.3405946096137817,4355,3810,8165,-484,-484,-599,-27,0.8302948387502358,0.6863974911799294,59.0,-599,2022-12-31,0.0071432233368080855,0.6729,0.812934161911267,0.34815515610217596,3.5478,0.48031964749356293,,2.6501,0.2430776052673866,0.1719,0.24259465748775877,2.7973,0.1422398714493851,0.49788991904463903,2.9166,0.19454563910537653,0.954,0.9267996895414268,0.296,0.1278978645595246
2022-09-30,0.3473056197074673,0.19018056400892674,0.8033486021165692,0.0,0.70534778049633,0.14029757301219026,0.8174676241330634,0.6421698652935975,0.0,0.8848389775768203,0.891295045673569,0.7894791139121791,0.8672329176202772,0.0,0.5924490768561305,0.20520807655245066,0.5882367323984987,0.9999999999999998,0.9122892196224159,0.7198248905565978,0.0,0.8996451558395675,0.7894791139121791,2022-09-30,0.7825900011726538,34354,0.4234117647058824,0.0,4534,0,0.3117845117845118,0.42725467952353946,0.22731333758774727,-1125,-195,0.13081933903065798,,-930,,0.13650224215246637,0.542612024957459,0.42725467952353946,4021,4021,-0.21,-0.21,2022-09-30,0.09381964683696212,1627,1760,3387,-2504,-1653,5273,239,1355,0.4022346368715084,-1732,0,435,0,-1063,-1063,-1157,0.4214504028896916,1289,1055,2344,0,0,-603,-45,0.6618469856038223,0.5536390957794328,107.0,-603,2022-09-30,0.006528017499188271,0.6669,0.81209610270482,0.2817617996425944,1.2794,0.4192235593238599,,-2.8559,0.1407850228525982,0.1595,0.13894410239007127,2.6681,0.15721309647831283,0.4723487218938213,-2.2096,0.09657918184586581,-0.7359,0.9150550848371171,0.9515,0.36808594005093714
2022-06-30,0.21362586605080836,0.19571921282207344,0.7056547148949615,0.0,0.70604683677036,0.0,0.8563186644571286,0.7783325531804234,0.0,1.0,0.9513404401778572,0.7785624519348,0.8217655770007465,0.011890974929453346,0.5847821131809611,0.2097236850951305,0.5477462498624643,0.9999999999999998,0.9391607999850611,0.7607595656376144,0.0,0.9326410543940766,0.7785624519348,2022-06-30,0.8137825900011727,33191,0.6541176470588236,0.0,4131,0,0.273015873015873,0.5948667044809983,0.19872367581365666,791,153,0.22452638498774874,,638,,0.22582959641255607,0.7096568349404425,0.5948667044809983,4021,4052,0.17,0.16,2022-06-30,0.16102348705640324,1619,2309,3928,-3319,248,1466,-14,-1619,0.3311698981268485,-1699,0,0,0,385,385,2141,0.6628507918866352,-5343,1209,-4134,0,0,-402,-43,0.4646067768906771,0.37488566575199267,103.0,-402,2022-06-30,0.0002563357656749088,0.6577,0.8114228995372219,0.5248712288447388,7.1361,0.5769653418946143,,1.9682,0.2172451177615641,0.1635,0.16723226838609584,2.6727,0.15665184080328753,0.49054374818139423,1.4422,0.16833402885081714,0.4936,0.9430340857641808,0.7303,0.30268399399203294
2022-03-31,0.3879137798306389,0.15502130249543516,0.7586479229189702,0.0,0.7796225096120237,0.10446359518285275,0.8847357761001657,0.8367400010402039,0.0,0.9786841376764787,0.9658331938010455,0.846378931967813,0.8694971055111557,0.049521261846118714,0.5905841397459541,0.2375568652936828,0.6257931219971395,0.9999999999999998,0.9343056152079328,0.827790096082779,0.0,0.945652006943271,0.846378931967813,2022-03-31,0.59043114568268,29036,0.4707058823529412,0.0,4097,0,0.26974506974506973,0.4867413499716393,0.0,-3848,-729,0.0,,-3119,,0.0,0.5964265456608056,0.4867413499716393,4008,4008,-0.78,-0.78,2022-03-31,0.0,1547,4545,6092,-3148,-2755,1714,132,-4057,0.0,-1370,0,0,0,2771,2771,1914,0.8011114198388442,-486,-614,-1100,0,0,-405,-156,0.5563274030301125,0.4856265516790801,67.0,-405,2022-03-31,0.0024266452483893697,0.6595,0.8118928622748361,0.4388994008199306,3.8955,0.4896844464076018,,-11.1614,0.0,0.1363,0.07208997915353665,2.6457,0.15996075054491776,0.44888820905695576,-6.9182,0.0,-2.3558,0.9542127503611237,-0.2705,0.0
2021-12-31,0.7098922247882986,0.12132278352607019,0.5547306902543043,0.0,0.5985669346382383,0.15701764077634173,0.9162830663475112,0.8915587455141208,0.0,0.9386361539171358,0.9769492660601663,0.8843527844990902,0.8740866755602336,0.0672190777562105,0.5740898070826167,0.23908074311453742,0.6320402948763404,0.9444444444444444,1.0,0.8252316788902154,0.0,1.0,0.8843527844990902,2021-12-31,0.7155923855685417,32393,0.4524705882352942,0.0,4546,0,0.3129389129389129,0.44391661939875215,1.0,11218,-1055,0.9198589613338911,,12273,,0.9202989536621824,0.5514038570618265,0.44391661939875215,3991,4034,3.07,3.05,2021-12-31,0.659694839705126,1516,-11297,-9781,-664,1351,475,-123,1039,0.3791488662504108,-1772,0,0,0,485,485,-976,0.4911364267852182,-9441,1705,-7736,0,0,-400,58,0.35462375055007234,0.0,43.0,-400,2021-12-31,0.006972332826358146,0.6452,0.8110680899730127,0.3467991169977924,1.9614,0.43759224744400516,,29.7733,0.8465346836740713,0.1466,0.24237649682455042,3.3138,0.09404684562777982,0.609124318894766,25.2417,0.6775881709393997,8.957,1.0,0.8768,0.3426173839221577
2021-09-30,0.5879907621247114,0.11079326435382432,0.6686937292686781,0.0,0.6261796574624257,0.11967370088019735,0.883017246670349,0.9155874551412077,0.0,0.9452800590569347,0.9552752506930103,0.8434809521129931,0.853354057791866,0.21155822336764163,0.596945647444,0.34277166483651933,0.7244642224042448,0.9444444444444444,0.778248772198465,0.8305759281369037,0.0,0.8169249911672991,0.8434809521129931,2021-09-30,0.6376109134972444,30057,0.49258823529411766,0.0,4284,0,0.28773448773448773,0.4866704480998299,0.36592214422463304,1885,63,0.2952847666288173,,1822,,0.2954857997010464,0.5944412932501418,0.4866704480998299,3995,4036,0.46,0.45,2021-09-30,0.21176924395679755,1520,187,1707,-2381,-200,5927,133,3479,0.664804469273743,-1574,0,1,0,-1064,-1064,1467,0.5518755209780495,-1827,678,-1149,0,0,0,-73,0.5701263594643868,0.7414739317914543,79.0,0,2021-09-30,0.006972332826358146,0.726,0.816475368047258,0.4382424051298224,3.7609,0.48605918919210095,,5.2826,0.28791832865839895,0.1412,0.13092063799873954,3.2885,0.09605929320227119,0.5080910518616544,4.964,0.2203850535172507,1.3602,0.8478214000819265,1.7338,0.6391954548422909
2021-06-30,0.3805234795996921,0.06816798539257456,0.6754067287948191,0.0,0.6216357916812303,0.014841822266416171,0.8907506291045235,0.955947365683674,0.0,0.8778259665959215,0.9696749827910179,0.8046067563258494,0.7853182713843366,0.27119252287666984,0.5923454692388984,0.3801290814154137,0.6972627357971566,0.9444444444444444,0.7440383933073145,0.8292682926829268,0.0,0.7874314505599165,0.8046067563258494,2021-06-30,0.28851190243521085,22904,0.28341176470588236,0.0,3870,0,0.2479076479076479,0.3899602949517868,0.37957881301850666,735,182,0.21944660252196257,,553,,0.21949177877429,0.47376630743051623,0.3899602949517868,3992,4028,0.14,0.14,2021-06-30,0.15738042173838507,1182,-907,275,7449,-753,-6631,-137,-72,0.15116661189615513,-1513,0,144,0,6154,6154,1884,0.9874965268130036,-7034,617,-6417,0,0,0,12,0.40721066197271644,0.5226055141774467,142.0,0,2021-06-30,0.009005929900712611,0.7436,0.8178768904312633,0.3655734258383265,-0.0822,0.3825508236282738,,2.7475,0.2261420705450655,0.1076,0.0,3.0574,0.11593966117071786,0.4912791624647739,1.5898,0.16414964528608328,0.4075,0.8227691179958174,0.1844,0.1377914190557043
2021-03-31,0.5757120862201695,0.1026171637248935,0.6081977570683936,0.0,0.6939881160433414,0.24790999152948134,0.8685324986190388,0.9747230457169606,0.0,0.7915474762388116,0.9662331863593235,0.9198413145011537,0.9171919174611721,0.30864338493157395,0.5948527735759133,0.40614705420971253,0.8573786324681836,0.9444444444444444,0.7335810722488842,0.8234692137131161,0.0,0.774988863116177,0.9198413145011537,2021-03-31,0.6589141226595786,29297,0.6461176470588236,0.0,4467,0,0.3053391053391053,0.5662223482699944,0.42559029993618375,3942,680,0.38134225781390063,,3262,,0.3809865470852018,0.6897334089619966,0.5662223482699944,3980,4016,0.82,0.81,2021-03-31,0.27348705640322307,1742,-533,1209,2111,-2176,193,-107,21,0.45810055865921795,-1368,0,0,0,106,106,771,0.5896082245068075,-7961,273,-7688,0,0,-3,-102,0.3635820707864462,0.19613223572455246,41.0,-3,2021-03-31,0.00823692260368783,0.7523,0.8192060730012066,0.6151056449069694,6.8014,0.5679506792643907,,10.8811,0.3666362236564564,0.1389,0.1488825326028992,3.4675,0.08248055787276412,0.5311973102571359,9.6015,0.28011684693727934,2.378,0.8124797878533083,1.1185,0.45392803500293877
