Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2023-06-30,-5153.0,-2200.0,-856.0,-3056.0,504.0,2116.0,0.0,945.0,2631.0,-5578.0,4132.0,0,76.0,1947.0,-138,1809.0,1.0,6018.0,765.0,0,765.0,-294.0,-294.0,0,90.0,561.0,1045.0,-863.0,0
2023-03-31,2614.0,1154.0,398.0,1552.0,-472.0,-576.0,0.0,-190.0,-1101.0,3065.0,-2060.0,0,-76.0,-1536.0,138,-1398.0,0.0,-3534.0,-357.0,0,-357.0,63.0,63.0,0,-34.0,-328.0,-891.0,445.0,0
2022-12-31,2539.0,1046.0,458.0,1504.0,-32.0,-1540.0,0.0,-755.0,-1530.0,2513.0,-2072.0,0,0.0,-411.0,0,-411.0,-1.0,-2484.0,-408.0,0,-408.0,231.0,231.0,0,-56.0,-233.0,-154.0,418.0,0
2022-09-30,3707.0,989.0,773.0,1762.0,-698.0,-1973.0,0.0,-890.0,-2191.0,3278.0,-1858.0,0,0.0,-4349.0,0,-4349.0,76.0,-6131.0,-497.0,0,-497.0,67.0,67.0,0,-65.0,-495.0,-3225.0,419.0,0
2022-06-30,3331.0,956.0,582.0,1538.0,-193.0,-2300.0,0.0,-529.0,231.0,5100.0,-1803.0,0,0.0,-988.0,0,-988.0,0.0,-2791.0,-899.0,0,-899.0,229.0,229.0,0,-42.0,-712.0,1262.0,362.0,0
2022-03-31,2269.0,922.0,506.0,1428.0,176.0,-1559.0,0.0,-372.0,-1346.0,2351.0,-794.0,0,0.0,-90.0,0,-90.0,0.0,-884.0,-402.0,0,-402.0,43.0,43.0,0,-47.0,-406.0,847.0,361.0,0
2021-12-31,3280.0,880.0,437.0,1317.0,-409.0,-633.0,0.0,-557.0,-602.0,3995.0,-1767.0,-9,0.0,-386.0,0,-386.0,-5.0,-2167.0,-2068.0,0,-2068.0,202.0,202.0,0,-48.0,-1914.0,-104.0,418.0,0
2021-09-30,2343.0,848.0,539.0,1387.0,18.0,-534.0,0.0,-443.0,855.0,4585.0,-1810.0,0,0.0,-102.0,0,-102.0,-4.0,-1916.0,-1456.0,0,-1456.0,262.0,262.0,0,-63.0,-1257.0,1450.0,558.0,0
2021-06-30,1659.0,761.0,728.0,1489.0,135.0,-488.0,0.0,-820.0,-1.0,3147.0,-1819.0,0,0.0,-30.0,0,-30.0,-6.0,-1855.0,-1526.0,0,-1526.0,192.0,192.0,0,-47.0,-1381.0,-131.0,475.0,0
2021-03-31,1178.0,681.0,589.0,1270.0,-259.0,-581.0,0.0,-404.0,-324.0,2124.0,-1505.0,0,0.0,0.0,0,0.0,-10.0,-1515.0,-1588.0,0,-1588.0,70.0,70.0,0,-31.0,-1549.0,-898.0,474.0,0
