Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2023-06-30,23350.0,19172.0,4178.0,1161.0,1253.0,,2414.0,1764.0,281.0,2045.0,167.0,1878.0,,1878.0,,1853.0,3553.0,1764.0,3176.0,3493.0,0.58,0.53
2023-03-31,24927.0,20394.0,4533.0,943.0,1191.0,,2134.0,2399.0,538.0,2937.0,323.0,2614.0,,2614.0,,2703.0,3710.0,2399.0,3171.0,3478.0,0.85,0.78
2022-12-31,23329.0,18818.0,4511.0,771.0,1076.0,,1847.0,2664.0,136.0,2800.0,261.0,2539.0,,2539.0,,2518.0,4890.0,2664.0,3166.0,3468.0,0.8,0.73
2022-09-30,24318.0,18541.0,5777.0,810.0,1032.0,,1876.0,3901.0,82.0,3983.0,276.0,3707.0,,3707.0,,3719.0,4644.0,3901.0,3130.0,3475.0,1.17,1.07
2022-06-30,21454.0,16072.0,5382.0,733.0,961.0,,1694.0,3688.0,-52.0,3636.0,305.0,3331.0,,3331.0,,3292.0,3386.0,3688.0,3146.0,3468.0,1.05,0.95
2022-03-31,16934.0,12700.0,4234.0,667.0,961.0,,1770.0,2464.0,10.0,2474.0,205.0,2269.0,,2269.0,,2259.0,4483.0,2464.0,3111.0,3464.0,0.73,0.65
2021-12-31,18756.0,13296.0,5460.0,865.0,992.0,,1857.0,3603.0,23.0,3626.0,346.0,3280.0,,3280.0,,3313.0,3461.0,3603.0,3103.0,3472.0,1.07,0.95
2021-09-30,17719.0,12872.0,4847.0,740.0,1494.0,,2234.0,2613.0,22.0,2635.0,292.0,2343.0,,2343.0,,2326.0,2765.0,2613.0,2959.0,3386.0,0.7833,0.68
2021-06-30,13757.0,10097.0,3660.0,611.0,994.0,,1656.0,2004.0,-122.0,1882.0,223.0,1659.0,,1659.0,,1618.0,1993.0,2004.0,2993.0,3369.0,0.54,0.48
2021-03-31,11958.0,9074.0,2884.0,576.0,973.0,,1572.0,1312.0,-19.0,1293.0,115.0,1178.0,,1178.0,,1142.0,1215.0,1312.0,2913.0,3357.0,0.3933,0.34
2020-12-31,10389.0,8174.0,2215.0,666.0,1056.0,,1621.0,594.0,-61.0,533.0,69.0,464.0,,464.0,,438.0,1193.0,594.0,2883.0,3399.0,0.1533,0.13
2020-09-30,10744.0,8678.0,2066.0,522.0,969.0,,1491.0,575.0,-196.0,379.0,83.0,296.0,,296.0,,270.0,1393.0,575.0,2798.0,3249.0,0.1,0.08
2020-06-30,8771.0,6708.0,2063.0,366.0,888.0,,1254.0,809.0,-254.0,555.0,186.0,369.0,,369.0,,300.0,894.0,809.0,2811.0,3315.0,0.1067,0.09
2020-03-31,6036.0,4769.0,1267.0,279.0,661.0,,940.0,327.0,-177.0,150.0,21.0,129.0,,129.0,,104.0,836.0,327.0,2784.0,3108.0,0.0367,0.0333
2019-12-31,5985.0,4751.0,1234.0,324.0,627.0,,951.0,283.0,-213.0,70.0,2.0,68.0,,68.0,,16.0,798.0,283.0,2745.0,2982.0,0.0067,0.0067
2019-09-30,7384.0,5993.0,1391.0,345.0,699.0,,1032.0,359.0,-185.0,174.0,42.0,132.0,,132.0,,113.0,847.0,359.0,2661.0,2661.0,0.0473,0.0473
2019-06-30,6303.0,5112.0,1191.0,334.0,596.0,,930.0,261.0,-85.0,176.0,26.0,150.0,,150.0,,143.0,454.0,261.0,2691.0,2766.0,0.0533,0.0533
2019-03-31,6350.0,5429.0,921.0,324.0,647.0,,1088.0,-167.0,-203.0,-370.0,19.0,-389.0,,-389.0,,-408.0,-14.0,-167.0,2655.0,2655.0,-0.154,-0.154
2018-12-31,4541.0,3975.0,566.0,340.0,704.0,,1088.0,-522.0,-123.0,-645.0,23.0,-668.0,,-668.0,,-710.0,949.3667,-522.0,2595.0,2595.0,-0.2733,-0.2733
2018-09-30,7226.019,5783.474,1442.544,355.775,667.837,,1028.178,414.3667,-182.345,232.021,21.688,210.3329,,210.3329,,140.09,965.093,414.3662,2559.0,2559.0,0.0593,0.064
2018-06-30,6824.0,5300.0,1524.0,351.0,730.0,,1108.0,416.0,-145.0,271.0,17.0,254.0,,254.0,,311.0,-101.0631,416.0,2565.0,2670.0,0.1213,0.1167
2018-03-31,4002.231,3383.301,618.9299,386.129,750.759,,1240.322,-621.3921,-107.607,-728.999,13.707,-742.706,,-742.706,,-717.539,-141.3961,-621.3921,2549.955,2549.955,-0.2813,-0.2813
2017-12-31,3408.751,2952.225,456.5259,367.096,686.404,,1053.5,-596.9741,-182.048,-779.022,5.605,-784.627,,-784.627,,-709.551,-98.0645,-596.9741,2537.19,2537.19,-0.2793,-0.2793
2017-09-30,3288.499,2849.199,439.2996,354.5639,682.7899,,1037.354,-598.0544,-181.814,-779.869,-8.64,-771.2289,,-771.2289,,-675.9501,-141.6482,-598.0547,2490.0,2490.0,-0.27,-0.27
2017-06-30,2984.675,2535.535,449.1399,331.622,652.998,,984.62,-535.4802,-135.968,-671.448,-0.285,-671.163,,-671.163,,-619.376,183.913,-535.4802,2509.41,2509.41,-0.2467,-0.2467
2017-03-31,2789.557,2122.942,666.615,369.774,537.757,,907.531,-240.916,-144.864,-385.78,15.647,-401.427,,-401.427,,-336.397,150.7999,-240.916,2478.18,2478.18,-0.136,-0.136
2016-12-31,2696.27,2028.324,667.946,322.04,603.455,,925.495,-257.5491,-114.354,-371.903,25.278,-397.181,,-397.181,,-330.277,85.0698,-257.5491,2431.935,2431.935,-0.136,-0.136
2016-09-30,2284.631,1849.353,435.278,245.96,456.016,,701.976,-266.6982,58.299,-208.399,11.07,-219.469,,-219.469,,-121.337,394.2551,-266.6984,2163.18,2163.18,-0.0407,-0.04
2016-06-30,2298.436,1661.701,636.735,214.302,336.811,,551.113,85.6221,-55.611,30.011,8.133,21.878,,21.878,,21.878,-33.7251,85.6221,2234.865,2354.025,0.01,0.0093
2016-03-31,1270.017,995.241,274.7759,191.664,321.152,,512.816,-238.04,-51.499,-289.539,3.649,-293.188,,-293.188,,-293.188,-71.151,-238.04,2099.745,2099.745,-0.1393,-0.1393
2015-12-31,1147.048,894.58,252.468,182.482,318.21,,500.692,-248.224,-30.197,-278.421,3.846,-282.267,,-282.267,,-282.267,-89.9323,-248.224,1990.14,1990.14,-0.142,-0.142
2015-09-30,1214.38,995.8163,218.5635,190.243,288.654,,478.8967,-260.3333,-55.016,-315.3491,5.048,-320.3971,,-320.3971,,-320.3971,-55.6321,-260.3334,1923.03,1923.03,-0.1653,-0.1653
2015-06-30,936.789,705.293,231.496,178.791,236.367,,415.158,-183.662,-44.412,-228.074,1.784,-229.858,,-229.858,,-229.858,-63.0279,-183.662,1935.09,1935.09,-0.1187,-0.1187
2015-03-31,954.976,741.606,213.3701,181.712,201.846,,383.558,-170.1879,-10.872,-181.06,3.167,-184.227,,-184.227,,-184.227,-7.393,-170.1879,1900.335,1900.335,-0.0967,-0.0967
2014-12-31,939.88,679.807,260.073,167.154,195.365,,362.519,-102.446,-48.695,-151.141,3.04,-154.181,,-154.181,,-154.181,7.2363,-102.446,1889.205,1889.205,-0.0813,-0.0813
2014-09-30,956.661,694.9638,261.6972,139.566,196.971,,336.5372,-74.8397,-29.074,-103.914,3.718,-107.632,,-107.632,,-107.632,49.375,-74.8397,1868.085,1868.085,-0.0573,-0.0573
2014-06-30,851.804,599.953,251.851,135.873,155.107,,290.98,-39.129,-31.852,-70.981,3.727,-74.708,,-74.708,,-74.708,49.571,-39.129,1873.665,1873.665,-0.04,-0.04
2014-03-31,769.349,556.354,212.995,107.717,134.031,,241.748,-28.753,-31.997,-60.75,1.15,-61.9,,-61.9,,-61.9,8.794,-28.753,1863.75,1863.75,-0.0333,-0.0333
2013-12-31,620.542,465.414,155.128,81.544,117.551,,199.095,-43.967,-5.024,-48.991,0.809,-49.8,,-49.8,,-49.8,28.0309,-43.967,1852.095,1852.095,-0.0267,-0.0267
2013-09-30,615.2189,458.628,156.5909,68.454,101.49,,169.944,-13.3532,-1.553,-14.906,1.358,-16.264,,-16.264,,-16.264,1.658,-13.3531,1791.315,1791.315,-0.0093,-0.0027
2013-06-30,431.346,328.478,102.868,56.351,77.071,,133.422,-30.554,-7.164,-37.718,0.778,-38.496,,-38.496,,-38.496,17.546,-30.554,1827.93,1827.93,-0.0213,-0.0213
2013-03-31,405.139,304.656,100.483,52.312,59.963,,112.275,-11.792,-18.409,-30.201,0.301,-30.502,,-30.502,,-30.502,12.266,-11.792,1772.91,1772.91,-0.0173,-0.0173
2012-12-31,561.792,465.472,96.32,54.859,47.045,,101.904,-5.584,16.983,11.399,0.151,11.248,,11.248,,11.248,-78.093,-5.584,1720.68,1863.975,0.0067,0.0
2012-09-30,306.332,282.476,23.856,68.832,45.909,,114.741,-90.885,0.804,-90.081,-0.148,-89.933,,-89.933,,-89.933,-100.938,-90.885,1610.235,1610.235,-0.052,-0.052
2012-06-30,50.104,58.865,-8.761,61.901,37.798,,99.699,-108.46,-2.228,-110.688,0.116,-110.804,,-110.804,,-110.804,-101.827,-108.46,1583.34,1583.34,-0.07,-0.07
2012-03-31,26.653,21.891,4.762,74.854,36.083,,110.937,-106.175,0.681,-105.494,0.109,-105.603,,-105.603,,-105.603,-84.6,-106.175,1578.63,1578.63,-0.0667,-0.0667
2011-12-31,30.167,19.957,10.21,68.391,30.582,,98.973,-88.763,-1.051,-89.814,0.059,-89.873,,-89.873,,-89.873,-76.122,-88.763,1571.76,1571.76,-0.0573,-0.0573
2011-09-30,39.375,31.54,7.835,61.205,27.556,,88.761,-80.926,-0.45,-81.376,0.113,-81.489,,-81.489,,-81.489,-60.197,-80.926,1505.835,1505.835,-0.0527,-0.0527
2011-06-30,57.666,40.442,17.224,54.083,27.618,,81.701,-64.477,-0.514,-64.991,0.087,-65.078,,-65.078,,-65.078,-54.421,-64.477,1561.155,1561.155,-0.042,-0.042
2011-03-31,58.171,39.663,18.508,52.531,24.716,,77.247,-58.739,-0.025,-58.764,0.139,-58.903,,-58.903,,-58.903,-43.829,-58.739,1466.355,1466.355,-0.04,-0.04
2010-12-31,49.03,31.002,18.028,41.162,24.212,,65.374,-47.346,-1.445,-48.791,0.15,-48.941,,-48.941,,-48.941,-48.754,-47.346,1427.805,1427.805,-0.034,-0.034
2010-09-30,36.286,24.964,11.322,37.617,25.349,,62.966,-51.644,0.25,-51.394,-0.037,-51.357,,-51.357,,-51.357,-34.725,-51.644,760.77,760.77,0.428,0.428
2010-06-30,31.241,21.945,9.296,26.698,20.432,,47.13,-37.834,2.982,-34.852,0.083,-34.935,,-34.935,,-34.935,-28.879,-37.834,1384.065,1384.065,-0.0253,-0.0253
