Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2023-06-30,42821,14482,17703,0,4149,121712,38503,25240,0,12109,144279,265991,101015,93895,25754,121370,222385,42,31577,-8924,0,43606,265991,2023-06-30,44954,37471,7483,0,5022,0,5022,2461,-173,2288,272,2016,,2016,,1917,4057,2461,4003,4041,0.48,0.47,2023-06-30,2016,1596,807,2403,-1878,-1387,3811,70,616,5035,-1949,0,0,0,508,508,-2739,-4180,2518,1553,4071,0,0,-601,-57,3413,4264,138.0,-601,2023-06-30,1.2049,0.6829,3.2848,16.6459,5.4745,5.4745,,5.0896,4.2644,0.169,2.1166,3.1041,28.9936,4.6232,4.6232,0.7579,1.4662,10.4948,1.2439,0.7629
2023-03-31,39513,14920,16212,0,4128,115123,37970,25456,0,11595,141677,256800,95905,91242,25908,118698,214603,42,30270,-8788,0,42197,256800,2023-03-31,41474,34669,6805,0,4692,0,4692,2113,46,2159,496,1663,,1663,,1757,3738,2113,3990,4029,0.44,0.44,2023-03-31,1663,1625,449,2074,-1388,-1967,2323,95,-937,2800,-1780,0,0,0,1169,1169,-1366,-1977,1670,-2211,-541,0,0,-3193,-140,-3874,-2981,100.0,-3193,2023-03-31,1.2004,0.6838,3.301,16.4079,5.0948,5.0948,,5.2057,4.2364,0.1615,2.1385,2.7798,32.3769,3.941,3.941,0.6476,1.2463,10.1606,0.695,0.2532
2022-12-31,44070,15729,14080,0,3877,116476,37265,25570,0,11118,139408,255884,96866,88805,25497,115851,212717,42,31754,-9339,0,43167,255884,2022-12-31,43999,37816,6183,0,4622,0,4622,1561,-395,1166,-93,1259,,1259,,1289,3261,1561,4014,4014,0.33,0.34,2022-12-31,1259,1700,513,2213,-2772,1584,-1185,79,-2294,1178,-2065,0,14,0,-1172,-1172,-1749,-4972,4355,3810,8165,-484,-484,-599,-27,7055,3619,59.0,-599,2022-12-31,1.2024,0.6729,3.2193,14.0526,3.5478,3.5478,,2.6501,2.9296,0.1719,2.6858,2.7973,32.1737,2.9166,2.9166,0.492,0.954,10.3892,0.296,-0.2206
2022-09-30,40173,14764,15213,0,4036,108088,35529,26111,0,14359,138831,246919,90167,84279,28591,114663,204830,42,31072,-10193,0,42089,246919,2022-09-30,39392,34354,5038,0,4534,0,4534,504,-1629,-1125,-195,-930,,-930,,-827,2131,504,4021,4021,-0.21,-0.21,2022-09-30,-930,1627,1760,3387,-2504,-1653,5273,239,1355,3812,-1732,0,435,0,-1063,-1063,-1157,-3517,1289,1055,2344,0,0,-603,-45,1696,1587,107.0,-603,2022-09-30,1.1988,0.6669,3.049,12.7894,1.2794,1.2794,,-2.8559,-2.0994,0.1595,2.2582,2.6681,33.7317,-2.2096,-2.2096,-0.3766,-0.7359,10.1713,0.9515,0.515
2022-06-30,36700,15037,13976,0,4040,100469,36162,28729,0,15607,145286,245755,86452,85008,28221,115066,201518,42,32511,-9473,0,44237,245755,2022-06-30,40190,33191,6999,0,4131,0,4131,2868,-2077,791,153,638,,638,,667,4487,2868,4021,4052,0.17,0.16,2022-06-30,638,1619,2309,3928,-3319,248,1466,-14,-1619,2947,-1699,0,0,0,385,385,2141,827,-5343,1209,-4134,0,0,-402,-43,-4579,-1149,103.0,-402,2022-06-30,1.1621,0.6577,2.9122,17.4148,7.1361,7.1361,,1.9682,1.6596,0.1635,2.3749,2.6727,33.6733,1.4422,1.4422,0.2596,0.4936,10.6904,0.7303,0.3147
2022-03-31,41228,13031,14647,0,4461,106142,36625,29852,0,15376,146844,252986,90352,87315,28501,117550,207902,42,32251,-8294,0,45084,252986,2022-03-31,34476,29036,5440,0,4097,0,4097,1343,-5191,-3848,-729,-3119,,-3119,,-3110,2890,1343,4008,4008,-0.78,-0.78,2022-03-31,-3119,1547,4545,6092,-3148,-2755,1714,132,-4057,-1084,-1370,0,0,0,2771,2771,1914,3315,-486,-614,-1100,0,0,-405,-156,-1661,546,67.0,-405,2022-03-31,1.1748,0.6595,3.0077,15.7791,3.8955,3.8955,,-11.1614,-9.0208,0.1363,1.9824,2.6457,34.0176,-6.9182,-6.9182,-1.2329,-2.3558,10.8978,-0.2705,-0.6123
2021-12-31,49593,11370,12065,0,3425,108996,37139,30906,0,14942,148039,257035,90727,88400,27705,117686,208413,41,35769,-8339,0,48622,257035,2021-12-31,37678,32393,5285,0,4546,0,4546,739,10479,11218,-1055,12273,,12273,,12282,2255,739,3991,4034,3.07,3.05,2021-12-31,12273,1516,-11297,-9781,-664,1351,475,-123,1039,3531,-1772,0,0,0,485,485,-976,-2263,-9441,1705,-7736,0,0,-400,58,-8078,-6887,43.0,-400,2021-12-31,1.2014,0.6452,2.8401,14.0268,1.9614,1.9614,,29.7733,32.5973,0.1466,2.6849,3.3138,27.1591,25.2417,25.2417,4.7748,8.957,11.7473,0.8768,0.437
2021-09-30,46426,10851,13508,0,3583,106968,36597,31368,0,15014,145709,252677,89033,97249,28808,126940,215973,41,23894,-8245,0,36704,252677,2021-09-30,35683,30057,5626,0,4284,0,4284,1342,543,1885,63,1822,,1822,,1832,2862,1342,3995,4036,0.46,0.45,2021-09-30,1822,1520,187,1707,-2381,-200,5927,133,3479,7008,-1574,0,1,0,-1064,-1064,1467,-1170,-1827,678,-1149,0,0,0,-73,-1222,4462,79.0,0,2021-09-30,1.2014,0.726,3.9389,15.7666,3.7609,3.7609,,5.2826,5.1341,0.1412,2.2251,3.2885,27.3685,4.964,4.964,0.7211,1.3602,8.9239,1.7338,1.3453
2021-06-30,41036,8750,13593,0,3557,101275,36723,32144,0,14283,147257,248532,83474,100905,28586,130274,213748,41,22062,-8268,0,34784,248532,2021-06-30,26752,22904,3848,0,3870,0,3870,-22,757,735,182,553,,553,,561,1160,-22,3992,4028,0.14,0.14,2021-06-30,553,1182,-907,275,7449,-753,-6631,-137,-72,756,-1513,0,144,0,6154,6154,1884,6669,-7034,617,-6417,0,0,0,12,-6405,1112,142.0,0,2021-06-30,1.2133,0.7436,4.2237,14.384,-0.0822,-0.0822,,2.7475,2.097,0.1076,1.685,3.0574,29.4371,1.5898,1.5898,0.2225,0.4075,8.4591,0.1844,-0.1903
2021-03-31,46107,10448,12742,0,3971,113932,36361,32505,0,13348,146887,260819,94249,103201,28707,132596,226845,41,21502,-8370,0,33974,260819,2021-03-31,36228,29297,6931,0,4467,0,4467,2464,1478,3942,680,3262,,3262,,3262,4206,2464,3980,4016,0.82,0.81,2021-03-31,3262,1742,-533,1209,2111,-2176,193,-107,21,4492,-1368,0,0,0,106,106,771,-491,-7961,273,-7688,0,0,-3,-102,-7793,-3885,41.0,-3,2021-03-31,1.2088,0.7523,4.4938,19.1316,6.8014,6.8014,,10.8811,9.0041,0.1389,2.2992,3.4675,25.9556,9.6015,9.6015,1.2507,2.378,8.2682,1.1185,0.7779
