Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2023-06-30,27820.46,49246.83,31247.59,,4590.584,112905.5,28680.79,20299.98,17912.0,47067.12,169322.8,282228.2,95929.03,64783.93,14513.22,89607.98,185537.0,3347.528,76487.2,,3671.377,96691.22,282228.2,2023-06-30,41697.99,31931.27,9766.715,1792.618,3514.359,290.0464,5016.93,4749.785,794.9016,5544.684,1574.538,3970.146,,3970.146,,3885.095,6557.385,4749.785,1065.4,1069.8,3.647,3.632,2023-06-30,5639.355,1807.6,1422.848,-141.124,-462.984,0.0,-1605.9624,-4503.345,4005.206,-871.971,-914.31,0.0,0.0,1725.8209,1725.8209,-28.8434,-89.302,0.0,844.829,844.829,-681.8716,-681.8716,-6168.5096,99.4644,-5906.0878,-2251.6174,0,-6168.5096,2023-06-30,1.177,0.4012,1.2324,23.4225,11.3909,11.3909,,13.2973,9.3172,0.1477,1.0219,0.8467,106.2932,4.106,5.0396,1.4067,2.4587,90.3794,3.7414,2.9269
2023-03-31,30850.59,48437.18,30693.87,,5524.79,115506.4,28421.48,20497.65,17545.8,45803.05,167059.7,282566.1,96033.88,64294.51,14599.31,88948.36,184982.2,3295.338,77297.68,,3273.87,97583.87,282566.1,2023-03-31,40269.68,30172.2,10097.47,1819.413,3232.008,354.222,4697.2,5400.277,577.4892,5977.765,1672.357,4305.407,,4305.407,,4234.563,7172.461,5400.277,1069.106,1069.106,3.9608,3.9608,2023-03-31,5977.765,1772.183,1093.795,2518.196,-3690.349,0.0,-744.9396,-3097.833,4003.782,-735.279,-1205.428,0.0,0.0,-1188.254,-1188.254,-31.1286,-3160.09,0.0,-703.077,-703.077,-92.3124,-92.3124,-76.2114,15.0276,-856.5732,-202.8726,0,-76.2114,2023-03-31,1.2028,0.3972,1.2041,25.0746,13.4103,13.4103,,14.8443,10.5155,0.1425,0.983,0.8314,108.2538,4.412,5.3792,1.5237,2.6597,91.2169,3.745,3.0572
2022-12-31,28835.98,47846.08,26994.29,,4711.699,108388.0,28710.6,19840.34,16719.58,45546.07,165563.8,273951.8,93141.4,65376.93,14598.68,89631.86,182773.3,3234.552,71323.45,,3089.155,91178.55,273951.8,2022-12-31,42173.26,33160.05,9013.211,1278.992,3250.853,790.4606,3739.4,5273.813,253.3745,5527.202,1378.746,4148.456,,4148.456,,4104.06,7194.957,5273.816,1070.184,1070.184,3.8347,3.8347,2022-12-31,6383.0,1921.144,1521.979,839.4044,1893.146,-3815.274,-1485.0095,-4505.34,4249.66,-1010.985,-1268.53,0.0,0.0,-814.924,-814.924,-9.8264,-3104.265,-14240.46,16101.0192,1860.56,14.1008,14.1008,-354.696,-14.9824,1504.98,2046.113,0,-354.696,2022-12-31,1.1637,0.4176,1.2923,21.3719,12.5051,12.5051,,13.1059,9.7314,0.1539,1.2284,0.8814,102.1061,4.5498,5.5715,1.5143,2.6498,85.2136,3.9907,3.0429
2022-09-30,23638.98,45210.19,28600.45,,5339.167,102788.8,27791.67,19914.36,15546.13,46374.51,161233.6,264022.4,90638.94,64290.58,16777.94,89970.16,180609.1,3092.104,64073.03,,3209.946,83413.28,264022.4,2022-09-30,37987.55,29142.32,8845.23,1535.98,3092.104,233.6704,4394.42,4450.816,752.3784,5203.195,1176.41,4026.786,,4026.786,,3951.246,5967.088,4450.816,1071.858,1071.858,3.6864,3.6864,2022-09-30,4648.24,1516.272,862.699,570.3948,-1741.021,1031.327,657.6406,-410.058,5071.379,-598.084,-844.923,0.0,0.0,1008.2,1008.2,18.0538,-416.754,0.0,-3564.44,-3564.44,0.798,0.798,314.753,0.285,-3248.6,1573.031,0,314.753,2022-09-30,1.134,0.4353,1.3633,23.2846,11.7165,11.7165,,13.6971,10.4014,0.1439,1.0189,0.8402,107.1118,4.8275,5.9333,1.5252,2.7263,77.9709,4.7006,4.1483
2022-06-30,24205.23,46569.39,27879.91,,6500.133,105154.7,29625.2,19730.27,16139.66,48948.94,168834.3,273988.9,96041.92,68807.98,16604.71,94504.15,190546.1,3267.094,63707.27,,2773.305,83442.86,273988.9,2022-06-30,38779.45,29731.62,9047.83,1542.026,3188.343,-1.0642,4731.43,4316.398,524.6506,4841.046,1437.734,3403.312,,3403.312,,3306.469,5941.644,4316.398,1067.697,1067.697,3.0968,3.0968,2022-06-30,4540.198,1625.245,1710.3585,192.8112,-1909.148,558.624,713.8569,-1919.416,5150.036,-709.2576,-758.322,0.0,0.0,1799.377,1799.377,10.12,341.9178,0.0,-3852.451,-3852.451,0.812,0.812,-5879.0494,0.29,-9730.403,-3884.659,0,-5879.0494,2022-06-30,1.0949,0.4519,1.4797,23.3315,11.1306,11.1306,,12.4835,8.5263,0.1415,1.0664,0.8327,108.079,4.0786,5.0567,1.2421,2.2353,77.9986,4.8318,4.1654
2022-03-31,31005.26,47503.85,26872.2,,8510.765,113892.1,30911.0,19626.16,16877.89,50966.96,175717.4,289609.5,101158.5,74303.11,15523.39,100445.9,201604.4,3445.154,68229.76,,1844.897,88005.17,289609.5,2022-03-31,39117.65,30180.45,8937.201,1545.269,3181.437,1119.956,3606.75,5330.453,490.4014,5820.852,1796.642,4024.209,,4024.209,,3916.478,7138.317,5330.453,1070.552,1070.552,3.6584,3.6584,2022-03-31,5820.852,1807.864,366.9595,-518.4564,-2574.327,2225.323,-1107.611,-2910.987,3328.445,-855.1164,-729.43,0.0,0.0,1115.467,1115.467,10.0998,-458.9798,0.0,-8502.909,-8502.909,-15.7108,-15.7108,-53.8656,-5.611,-8578.097,-5532.446,0,-53.8656,2022-03-31,1.1259,0.4578,1.5076,22.847,13.6267,13.6267,,14.8804,10.0121,0.1351,1.1231,0.8235,109.2946,4.5727,5.6578,1.3895,2.4794,82.2632,3.1091,2.3103
2021-12-31,38929.91,48912.9,25396.42,,8536.066,121775.3,32959.98,20872.25,17752.42,54430.88,185630.8,307406.1,103728.3,87008.73,17065.03,117113.9,220842.2,3632.117,66478.39,,1145.241,86563.88,307406.1,2021-12-31,19249.12,13599.36,5649.754,514.2988,1797.31,-963.8509,3275.47,2374.285,-45.1691,2329.122,1377.606,951.5161,,951.5161,13959.17,14798.52,4287.048,2374.289,1069.8,1069.8,13.8297,13.8297,2021-12-31,17166.99,1912.763,-9390.274,-993.598,-92.532,-855.857,-264.87,-3813.6433,4903.34,-1200.912,-975.275,-7171.953,0.0,-520.8596,-520.8596,7433.254,-2435.745,-22080.2,16861.195,-5219.0,-0.0468,-0.0468,-94.32,-0.1443,-5313.51,-2561.8786,0,-94.32,2021-12-31,1.174,0.5013,1.7199,29.3507,12.3345,12.3345,,12.0999,76.879,0.0626,0.5355,0.3935,228.6942,1.0992,1.3828,0.3095,0.5482,80.9131,4.5717,3.4508
2021-09-30,32860.77,45396.84,24408.26,,66732.11,169398.0,32814.78,11266.08,17539.42,52574.63,172116.0,341514.0,130732.0,90832.59,17779.98,122023.6,252755.6,3620.144,69423.04,,226.4064,88758.38,341514.0,2021-09-30,37318.14,29400.99,7917.146,1593.099,3426.755,374.9856,4644.87,3272.277,122.6368,3394.917,1008.216,2386.701,,2386.701,647.3808,2912.624,5197.979,3272.277,1069.245,1069.245,2.724,2.724,2021-09-30,3898.73,1925.702,2038.466,1098.2181,-189.01,-750.851,3716.664,2953.8904,9775.76,-911.395,-615.684,0.0,0.0,-825.8132,-825.8132,-54.2822,-2407.174,0.0,-8732.301,-8732.301,0.3084,0.3084,38.591,-2.6638,-8696.064,-1053.333,0,38.591,2021-09-30,1.2958,0.5058,1.7366,21.2153,8.7686,8.7686,,9.0972,7.8048,0.1093,1.2046,0.822,109.4834,2.689,3.3512,0.6989,1.329,82.9673,9.1496,8.2961
2021-06-30,40852.13,62389.72,34839.68,,5840.15,143921.7,42578.76,14652.79,19873.62,59105.16,208791.1,352712.8,125520.5,98306.59,24349.82,140269.6,265790.1,3699.043,67825.02,,-295.2005,86922.69,352712.8,2021-06-30,52391.46,40525.61,11865.86,2153.156,4477.408,159.0468,6471.52,5394.336,737.3989,6131.736,1668.786,4462.95,,4462.95,,4335.23,7624.54,5394.336,1069.8,1069.8,4.0485,4.0485,2021-06-30,6127.761,2230.203,1440.0071,430.3775,-246.757,-172.005,2136.7529,817.3322,8482.697,-1174.108,-788.7084,0.0,0.0,-409.1262,-409.1262,749.4646,-1622.4778,0.0,-4594.441,-4594.441,43.41,43.41,-1991.6452,0.0238,-6542.652,267.862,0,-1991.6452,2021-06-30,1.1466,0.5307,1.977,22.6485,10.2962,10.2962,,11.7037,8.2747,0.1485,1.1632,0.8397,107.1754,5.1344,6.6562,1.2653,2.4094,81.2513,7.9294,6.8318
2021-03-31,41681.21,65001.13,34749.01,,6076.224,147507.6,42765.04,13830.64,19910.48,59153.97,208551.9,356059.5,129045.0,102573.7,24250.64,145042.1,274087.2,3701.192,62702.05,,-291.7552,81972.36,356059.5,2021-03-31,49450.09,38591.26,10858.84,2207.454,4498.094,1793.933,4911.61,5947.223,902.9944,6850.219,1578.13,5272.089,,5272.089,,5172.024,8136.592,5947.223,1069.825,1069.825,4.8345,4.8345,2021-03-31,6850.219,2189.37,-261.6151,-393.0256,-2501.62,3640.912,-801.7239,-706.4816,5882.123,-1153.759,-863.2096,0.0,0.0,1145.32,1145.32,-28.9344,-900.5832,0.0,-1803.578,-1803.578,-57.8688,-57.8688,-94.0368,-40.9904,-1996.474,3505.885,0,-94.0368,2021-03-31,1.1431,0.5558,2.1608,21.9592,12.0267,12.0267,,13.8528,10.4591,0.1389,1.1106,0.7608,118.3032,6.4315,8.4949,1.4807,2.8568,76.624,5.4982,4.4198
