Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2023-06-30,23075.0,3447.0,14356.0,2997.0,,43875.0,26389.0,,465.0,10575.0,46716.0,90591.0,27592.0,872.0,6924.0,11105.0,38697.0,3.0,18101.0,-410.0,,51894.0,90591.0,2023-06-30,23350.0,19172.0,4178.0,1161.0,1253.0,,2414.0,1764.0,281.0,2045.0,167.0,1878.0,,1878.0,,1853.0,3553.0,1764.0,3176.0,3493.0,0.58,0.53,2023-06-30,-5153.0,-2200.0,-856.0,-3056.0,504.0,2116.0,0.0,945.0,2631.0,-5578.0,4132.0,0,76.0,1947.0,-138,1809.0,1.0,6018.0,765.0,0,765.0,-294.0,-294.0,0,90.0,561.0,1045.0,-863.0,0,2023-06-30,1.5901,0.0165,0.0449,18.1851,9.6241,9.6241,,11.7824,10.8437,0.2752,1.4206,7.2315,12.4455,5.0372,5.0827,2.8855,4.9539,16.3497,0.8792,0.2886
2023-03-31,22402.0,2993.0,14375.0,3227.0,,42997.0,24969.0,,399.0,10195.0,43836.0,86833.0,27436.0,1272.0,5979.0,10569.0,38005.0,3.0,15398.0,-225.0,,48828.0,86833.0,2023-03-31,24927.0,20394.0,4533.0,943.0,1191.0,,2134.0,2399.0,538.0,2937.0,323.0,2614.0,,2614.0,,2703.0,3710.0,2399.0,3171.0,3478.0,0.85,0.78,2023-03-31,2614.0,1154.0,398.0,1552.0,-472.0,-576.0,0.0,-190.0,-1101.0,3065.0,-2060.0,0,-76.0,-1536.0,138,-1398.0,0.0,-3534.0,-357.0,0,-357.0,63.0,63.0,0,-34.0,-328.0,-891.0,445.0,0,2023-03-31,1.5672,0.0254,0.0548,19.3365,11.4193,11.4193,,12.0022,10.7934,0.2687,1.3091,7.7945,11.5466,5.1999,5.2427,2.924,5.0679,15.408,0.7246,0.1272
2022-12-31,22185.0,2952.0,12839.0,2941.0,,40917.0,23548.0,,409.0,9866.0,41421.0,82338.0,26709.0,1597.0,5330.0,10140.0,36849.0,3.0,12885.0,-361.0,,45489.0,82338.0,2022-12-31,23329.0,18818.0,4511.0,771.0,1076.0,,1847.0,2664.0,136.0,2800.0,261.0,2539.0,,2539.0,,2518.0,4890.0,2664.0,3166.0,3468.0,0.8,0.73,2022-12-31,2539.0,1046.0,458.0,1504.0,-32.0,-1540.0,0.0,-755.0,-1530.0,2513.0,-2072.0,0,0.0,-411.0,0,-411.0,-1.0,-2484.0,-408.0,0,-408.0,231.0,231.0,0,-56.0,-233.0,-154.0,418.0,0,2022-12-31,1.532,0.0339,0.0681,23.7561,16.0416,16.0416,,16.3788,15.2932,0.2953,1.4441,8.2378,10.9252,8.1492,8.2232,4.5022,7.8728,14.3771,0.9366,0.4045
2022-09-30,21107.0,2192.0,10327.0,2364.0,,35990.0,21926.0,,419.0,9016.0,38436.0,74426.0,24611.0,2096.0,4330.0,9112.0,33723.0,3.0,9198.0,-942.0,,40703.0,74426.0,2022-09-30,24318.0,18541.0,5777.0,810.0,1032.0,,1876.0,3901.0,82.0,3983.0,276.0,3707.0,,3707.0,,3719.0,4644.0,3901.0,3130.0,3475.0,1.17,1.07,2022-09-30,3707.0,989.0,773.0,1762.0,-698.0,-1973.0,0.0,-890.0,-2191.0,3278.0,-1858.0,0,0.0,-4349.0,0,-4349.0,76.0,-6131.0,-497.0,0,-497.0,67.0,67.0,0,-65.0,-495.0,-3225.0,419.0,0,2022-09-30,1.4624,0.049,0.0873,25.0862,17.1903,17.1903,,16.9479,15.3445,0.2883,1.5563,9.7874,9.1955,8.1837,8.2688,4.4756,7.7829,12.8889,1.4685,0.9494
2022-06-30,18915.0,2081.0,8108.0,2118.0,,31222.0,21093.0,,437.0,8794.0,37291.0,68513.0,21821.0,2898.0,3926.0,9455.0,31276.0,1.0,5908.0,-477.0,,37237.0,68513.0,2022-06-30,21454.0,16072.0,5382.0,733.0,961.0,,1694.0,3688.0,-52.0,3636.0,305.0,3331.0,,3331.0,,3292.0,3386.0,3688.0,3146.0,3468.0,1.05,0.95,2022-06-30,3331.0,956.0,582.0,1538.0,-193.0,-2300.0,0.0,-529.0,231.0,5100.0,-1803.0,0,0.0,-988.0,0,-988.0,0.0,-2791.0,-899.0,0,-899.0,229.0,229.0,0,-42.0,-712.0,1262.0,362.0,0,2022-06-30,1.4308,0.0722,0.119,25.003,14.5506,14.5506,,14.6097,13.34,0.2472,1.5664,8.1374,11.06,6.0934,6.1658,3.3118,5.6534,11.9235,0.6814,0.451
2022-03-31,18013.0,2311.0,6691.0,2035.0,,29050.0,20027.0,,454.0,9581.0,36988.0,66038.0,21455.0,3153.0,3839.0,9636.0,31091.0,1.0,3649.0,-50.0,,34947.0,66038.0,2022-03-31,16934.0,12700.0,4234.0,667.0,961.0,,1770.0,2464.0,10.0,2474.0,205.0,2269.0,,2269.0,,2259.0,4483.0,2464.0,3111.0,3464.0,0.73,0.65,2022-03-31,2269.0,922.0,506.0,1428.0,176.0,-1559.0,0.0,-372.0,-1346.0,2351.0,-794.0,0,0.0,-90.0,0,-90.0,0.0,-884.0,-402.0,0,-402.0,43.0,43.0,0,-47.0,-406.0,847.0,361.0,0,2022-03-31,1.354,0.0828,0.1377,29.1107,19.2099,19.2099,,19.3325,17.6637,0.284,1.9871,8.116,11.0893,9.3856,9.5092,4.9668,8.6089,11.2442,1.1506,0.6417
2021-12-31,17707.0,1913.0,5757.0,1723.0,,27100.0,18884.0,,457.0,9163.0,35031.0,62131.0,19705.0,5245.0,3546.0,11411.0,31116.0,3.0,329.0,54.0,,31015.0,62131.0,2021-12-31,18756.0,13296.0,5460.0,865.0,992.0,,1857.0,3603.0,23.0,3626.0,346.0,3280.0,,3280.0,,3313.0,3461.0,3603.0,3103.0,3472.0,1.07,0.95,2021-12-31,3280.0,880.0,437.0,1317.0,-409.0,-633.0,0.0,-557.0,-602.0,3995.0,-1767.0,-9,0.0,-386.0,0,-386.0,-5.0,-2167.0,-2068.0,0,-2068.0,202.0,202.0,0,-48.0,-1914.0,-104.0,418.0,0,2021-12-31,1.3753,0.1446,0.2203,27.3548,14.7469,14.7469,,14.871,13.1272,0.2852,2.2359,9.2624,9.7167,7.5544,7.6674,3.7711,6.4617,10.0048,1.3439,0.818
2021-09-30,16095.0,1962.0,5199.0,1746.0,,25002.0,17298.0,,470.0,8935.0,32832.0,57834.0,18051.0,6438.0,3486.0,11894.0,29945.0,1.0,-1990.0,120.0,,27889.0,57834.0,2021-09-30,17719.0,12872.0,4847.0,740.0,1494.0,,2234.0,2613.0,22.0,2635.0,292.0,2343.0,,2343.0,,2326.0,2765.0,2613.0,2959.0,3386.0,0.7833,0.68,2021-09-30,2343.0,848.0,539.0,1387.0,18.0,-534.0,0.0,-443.0,855.0,4585.0,-1810.0,0,0.0,-102.0,0,-102.0,-4.0,-1916.0,-1456.0,0,-1456.0,262.0,262.0,0,-63.0,-1257.0,1450.0,558.0,0,2021-09-30,1.3851,0.1875,0.2924,26.6046,14.5671,14.5671,,13.6803,11.7613,0.2379,1.9421,7.0117,12.8357,5.9486,6.0505,2.8686,4.8329,9.2593,0.9301,0.3945
2021-06-30,16229.0,2129.0,4733.0,1602.0,,24693.0,15665.0,,486.0,8820.0,30453.0,55146.0,16371.0,7871.0,3336.0,13130.0,29501.0,1.0,-3608.0,206.0,,25645.0,55146.0,2021-06-30,13757.0,10097.0,3660.0,611.0,994.0,,1656.0,2004.0,-122.0,1882.0,223.0,1659.0,,1659.0,,1618.0,1993.0,2004.0,2993.0,3369.0,0.54,0.48,2021-06-30,1659.0,761.0,728.0,1489.0,135.0,-488.0,0.0,-820.0,-1.0,3147.0,-1819.0,0,0.0,-30.0,0,-30.0,-6.0,-1855.0,-1526.0,0,-1526.0,192.0,192.0,0,-47.0,-1381.0,-131.0,475.0,0,2021-06-30,1.5083,0.2348,0.3666,24.1178,10.9717,10.9717,,10.8129,9.5501,0.2168,1.9172,5.6167,16.0236,4.5935,4.6822,2.1361,3.5147,8.6873,0.6387,0.181
2021-03-31,17141.0,1890.0,4132.0,1542.0,,24705.0,13868.0,,505.0,8851.0,28267.0,52972.0,14877.0,9053.0,3283.0,14231.0,29108.0,1.0,-4750.0,143.0,,23864.0,52972.0,2021-03-31,11958.0,9074.0,2884.0,576.0,973.0,,1572.0,1312.0,-19.0,1293.0,115.0,1178.0,,1178.0,,1142.0,1215.0,1312.0,2913.0,3357.0,0.3933,0.34,2021-03-31,1178.0,681.0,589.0,1270.0,-259.0,-581.0,0.0,-404.0,-324.0,2124.0,-1505.0,0,0.0,0.0,0,0.0,-10.0,-1515.0,-1588.0,0,-1588.0,70.0,70.0,0,-31.0,-1549.0,-898.0,474.0,0,2021-03-31,1.6606,0.275,0.4556,21.3206,5.7176,5.7176,,5.1304,4.216,0.1961,1.9782,5.4968,16.3731,1.9444,1.9864,0.8759,1.4096,8.2603,0.4828,-0.2751
